MULakeNumber,date,dateTime,depth_m,verticalPosition_m,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU,phycoerythrinTAL_RFU,turbidity_FNU,pH,orp_mV,specificConductivity_uSpcm,salinity_psu,tds_mgpL,waterPressure_barA,latitude,longitude,altitude_m,barometerAirHandheld_mbars
057,2025-06-25,2025-06-25T13:18:54Z,0.029666666666666668,0.029666666666666668,31.803333333333335,8.88,121.2,0.11666666666666667,-0.03666666666666667,-0.73,NA,9.04,173.7,137.83333333333334,0.06,90,0.002880602431500635,40.18088,-91.82832,197.26666666666668,993.9111111111112
057,2025-06-25,2025-06-25T13:18:57Z,0.06666666666666667,0.06666666666666667,31.80366666666667,8.88,121.2,0.12333333333333334,0.06,-0.65,NA,9.036666666666665,173.4,137.96666666666667,0.06,90,0.006418980221375431,40.18088,-91.82831333333334,197.53333333333333,993.9111111111112
057,2025-06-25,2025-06-25T13:19:00Z,0.18133333333333332,0.18133333333333332,31.807,8.88,121.16666666666667,0.09666666666666666,-0.06333333333333334,-0.65,NA,9.04,173.1,137.9,0.06,90,0.01746506986027944,40.18088,-91.82831,197.8,993.8666666666667
057,2025-06-25,2025-06-25T13:19:03Z,0.26066666666666666,0.26066666666666666,31.802666666666667,8.87,121.1,0.14,-0.05,-0.6866666666666666,NA,9.04,172.86666666666667,137.93333333333334,0.06,90,0.025108873162765378,40.18088,-91.82831,197.9,993.8666666666667
057,2025-06-25,2025-06-25T13:19:06Z,0.36533333333333334,0.36533333333333334,31.780666666666665,8.88,121.16666666666666,0.18,0.14666666666666667,-0.6633333333333333,NA,9.04,172.63333333333333,138.06666666666666,0.06,90,0.035179640718562874,40.18088,-91.8283,197.83333333333334,993.8666666666667
057,2025-06-25,2025-06-25T13:19:09Z,0.548,0.548,31.764666666666667,8.886666666666667,121.16666666666667,0.14333333333333334,-0.07333333333333333,-0.5833333333333334,NA,9.04,172.23333333333332,137.96666666666667,0.06,90,0.05278080203229904,40.18088,-91.8283,197.93333333333334,993.9111111111112
057,2025-06-25,2025-06-25T13:19:12Z,0.6986666666666667,0.6986666666666667,31.761666666666667,8.88,121.1,0.13333333333333333,-0.10333333333333333,-0.7066666666666667,NA,9.04,172.03333333333333,137.83333333333334,0.06,90,0.06725185991653058,40.18088,-91.82829666666666,198.03333333333333,993.8666666666667
057,2025-06-25,2025-06-25T13:19:15Z,0.8226666666666667,0.8226666666666667,31.755333333333333,8.88,121.06666666666666,0.21333333333333332,0.12000000000000001,-0.6,NA,9.04,172.2,137.9,0.06,90,0.07920522591181274,40.18088,-91.82829,198.16666666666666,993.9111111111112
057,2025-06-25,2025-06-25T13:19:18Z,0.8773333333333333,0.8773333333333333,31.759666666666668,8.88,121.1,0.17,0.01,-0.6433333333333333,NA,9.04,172.2,138.03333333333333,0.06,90,0.08449011068771548,40.18087666666667,-91.82829,197.96666666666667,993.8666666666667
057,2025-06-25,2025-06-25T13:19:21Z,0.9233333333333333,0.9233333333333333,31.758666666666667,8.88,121.1,0.16666666666666669,-0.1,-0.69,NA,9.04,172.2,137.93333333333334,0.06,90,0.08891308292505898,40.18088,-91.82829,197.63333333333333,993.9111111111112
057,2025-06-25,2025-06-25T13:19:24Z,0.9793333333333333,0.9793333333333333,31.762,8.886666666666667,121.16666666666667,0.25333333333333335,0.11666666666666667,-0.6533333333333333,NA,9.04,172,138.1,0.06,90,0.09433405915441843,40.18088,-91.82829,197.63333333333333,993.8666666666667
057,2025-06-25,2025-06-25T13:19:27Z,1.054,1.054,31.767,8.883333333333335,121.13333333333333,0.15666666666666668,0.02,-0.61,NA,9.04,171.73333333333332,138.16666666666666,0.06,90,0.10150154236980585,40.18088,-91.82829,197.56666666666666,993.8666666666667
057,2025-06-25,2025-06-25T13:19:30Z,1.1116666666666666,1.1116666666666666,31.768,8.88,121.1,0.14666666666666667,-0.02333333333333333,-0.6566666666666667,NA,9.04,171.63333333333333,138,0.06,90,0.10703592814371257,40.18088,-91.82829,197.36666666666667,993.8666666666667
057,2025-06-25,2025-06-25T13:19:33Z,1.167,1.167,31.766,8.88,121.1,0.21666666666666667,0.07666666666666666,-0.6933333333333334,NA,9.04,171.66666666666666,137.93333333333334,0.06,90,0.11236617673743422,40.18087666666667,-91.82829,197.16666666666666,993.9111111111112
057,2025-06-25,2025-06-25T13:19:39Z,1.2436666666666667,1.2436666666666667,31.751666666666665,8.873333333333333,121,0.18,0.16666666666666666,-0.66,NA,9.04,171.4,138.03333333333333,0.06,90,0.11978316095082563,40.18087,-91.82829,196.93333333333334,993.8666666666667
057,2025-06-25,2025-06-25T13:19:42Z,1.2833333333333332,1.2833333333333332,31.746666666666666,8.876666666666667,121,0.15666666666666668,-0.019999999999999997,-0.5866666666666667,NA,9.04,171.43333333333334,138.06666666666666,0.06,90,0.12361640355652331,40.18087,-91.82829,197,993.9555555555555
057,2025-06-25,2025-06-25T13:19:45Z,1.3666666666666667,1.3666666666666667,31.659666666666666,8.83,120.26666666666667,0.21,0.043333333333333335,-0.5933333333333333,NA,9.04,171.46666666666667,138.36666666666667,0.06,90,0.13164579931046996,40.18087,-91.82829,197.4,993.9111111111112
057,2025-06-25,2025-06-25T13:19:48Z,1.5146666666666666,1.5146666666666666,30.755333333333333,8.626666666666667,115.96666666666667,0.18666666666666668,0.0033333333333333344,-0.6833333333333333,NA,9.01,172.8,140.2,0.06,91,0.1459127200145164,40.18087,-91.82829,197.63333333333333,993.9555555555555
057,2025-06-25,2025-06-25T13:19:51Z,1.625,1.625,30.067666666666668,8.623333333333333,114.56666666666666,0.25,0.08333333333333333,-0.53,NA,9,173.6,141.6,0.06333333333333334,92.33333333333333,0.1565732172019597,40.18087,-91.82829,197.66666666666666,993.8666666666667
057,2025-06-25,2025-06-25T13:19:54Z,1.6936666666666667,1.6936666666666667,29.086,8.92,116.46666666666667,0.20666666666666667,-0.04333333333333333,-0.39666666666666667,NA,9.01,173.8,143.26666666666665,0.07,93,0.1632643803302486,40.18087,-91.82829,197.8,993.9555555555555
057,2025-06-25,2025-06-25T13:19:57Z,1.8093333333333335,1.8093333333333335,28.52,9.066666666666666,117,0.26666666666666666,0.33666666666666667,-0.20333333333333334,NA,9.003333333333334,174.76666666666668,143.73333333333332,0.07,93.33333333333333,0.17442387951369986,40.18087,-91.82829,198.1,993.8666666666667
057,2025-06-25,2025-06-25T13:20:00Z,1.8446666666666667,1.8446666666666667,28.235666666666667,9.22,118.33333333333333,0.17666666666666667,0.14333333333333334,0.15666666666666668,NA,8.99,175.13333333333333,144.5,0.07,94,0.17782616585011796,40.18087,-91.82829,198.23333333333332,993.9111111111112
057,2025-06-25,2025-06-25T13:20:03Z,1.8886666666666667,1.8886666666666667,28.198,9.276666666666666,118.96666666666667,0.29,0.32666666666666666,0.06666666666666667,NA,8.983333333333334,175.66666666666666,144.13333333333333,0.07,93.66666666666667,0.18211304663400474,40.18087,-91.82829,198.4,993.9111111111112
057,2025-06-25,2025-06-25T13:20:06Z,1.941,1.941,28.232333333333333,9.223333333333333,118.46666666666667,0.26666666666666666,0.2733333333333333,0.07,NA,8.966666666666667,176.56666666666666,143.83333333333334,0.07,93.33333333333333,0.18714843041190346,40.18087,-91.82829,198.6,993.8666666666667
057,2025-06-25,2025-06-25T13:20:09Z,1.9966666666666666,1.9966666666666666,27.898333333333333,9.28,118.46666666666667,0.27,0.33,0.66,NA,8.956666666666667,177.36666666666667,144.4,0.07,94,0.19254672473235349,40.18087,-91.82829,198.9,993.9111111111112
057,2025-06-25,2025-06-25T13:20:12Z,2.1406666666666667,2.1406666666666667,27.57933333333333,9.29,117.86666666666666,0.3466666666666667,0.6633333333333333,0.33,NA,8.943333333333333,178.6,144.86666666666667,0.07,94,0.20647341680275813,40.18087,-91.82829666666666,199.16666666666666,993.8666666666667
057,2025-06-25,2025-06-25T13:20:15Z,2.2413333333333334,2.2413333333333334,27.422333333333334,9.32,118,0.31666666666666665,0.33,0.82,NA,8.93,179.33333333333334,145.53333333333333,0.07,94.66666666666667,0.21618127381600435,40.18087666666667,-91.8283,199.36666666666667,993.8666666666667
057,2025-06-25,2025-06-25T13:20:18Z,2.334,2.334,26.586666666666666,9.536666666666667,119.1,0.35,0.8333333333333334,1.6466666666666667,NA,8.926666666666666,180.46666666666667,147.73333333333332,0.07,96,0.22516330974414805,40.18088,-91.8283,199.36666666666667,993.9111111111112
057,2025-06-25,2025-06-25T13:20:21Z,2.415,2.415,25.832666666666668,9.6466666666666665,118.96666666666667,0.41,1,2.1366666666666667,NA,8.913333333333334,181.9,150.4,0.07,98,0.23296588640900018,40.18088,-91.8283,199.5,993.8666666666667
057,2025-06-25,2025-06-25T13:20:24Z,2.513666666666667,2.513666666666667,25.186,9.7,118.03333333333333,0.38,1.2166666666666666,2.73,NA,8.876666666666667,183.93333333333334,153.36666666666667,0.07,99.66666666666667,0.24256033387769915,40.18088,-91.8283,199.56666666666666,993.9111111111112
057,2025-06-25,2025-06-25T13:20:27Z,2.6133333333333333,2.6133333333333333,24.726666666666667,9.676666666666666,116.53333333333333,0.48333333333333334,2.183333333333333,3.9433333333333334,NA,8.85,185.5,155.6,0.07,101,0.2522228270731265,40.18088,-91.8283,199.76666666666668,993.9111111111112
057,2025-06-25,2025-06-25T13:20:30Z,2.776666666666667,2.776666666666667,24.27,9.343333333333334,111.86666666666666,0.6266666666666667,3.41,5.92,NA,8.773333333333333,188.56666666666666,157.43333333333334,0.07,102.33333333333333,0.26803211758301576,40.18088,-91.8283,199.96666666666667,993.8666666666667
057,2025-06-25,2025-06-25T13:20:33Z,2.891,2.891,23.188666666666666,8.950000000000001,105.2,0.9466666666666667,4.24,9.606666666666667,NA,8.706666666666667,192.16666666666669,161.36666666666667,0.07666666666666667,105,0.27910088913082925,40.18088,-91.8283,200.03333333333333,993.9111111111112
057,2025-06-25,2025-06-25T13:20:36Z,2.9459999999999997,2.9459999999999997,22.461666666666666,8.303333333333333,95.9,0.83,3.586666666666667,9.433333333333334,NA,8.606666666666667,195.63333333333333,164.13333333333333,0.08,107,0.28445381963346034,40.18088,-91.8283,200.16666666666666,993.9111111111112
057,2025-06-25,2025-06-25T13:20:39Z,3.01,3.01,22.223666666666666,7.176666666666667,82.53333333333333,0.8533333333333333,3.083333333333333,8.5,NA,8.48,199.3,164.8,0.08,107.33333333333333,0.2906686626746507,40.18088,-91.8283,200.13333333333333,993.9111111111112
057,2025-06-25,2025-06-25T13:20:42Z,3.064,3.064,22.058,6.266666666666667,71.8,0.9133333333333333,2.8733333333333335,7.523333333333333,NA,8.386666666666667,202,165.43333333333334,0.08,107.66666666666667,0.2959081836327345,40.18088,-91.8283,200.06666666666666,993.8666666666667
057,2025-06-25,2025-06-25T13:20:45Z,3.1146666666666665,3.1146666666666665,21.888333333333335,5.4399999999999995,62.13333333333333,0.7733333333333333,2.39,6.843333333333333,NA,8.31,204.1,166.16666666666666,0.08,108,0.30076211213935766,40.18088,-91.82829,199.96666666666667,993.9555555555555
