MULakeNumber,date,dateTime,depth_m,verticalPosition_m,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU,phycoerythrinTAL_RFU,turbidity_FNU,pH,orp_mV,specificConductivity_uSpcm,salinity_psu,tds_mgpL,waterPressure_barA,latitude,longitude,altitude_m,barometerAirHandheld_mbars
270,2025-07-28,2025-07-28T16:15:14Z,8.103,8.103,9.952,0.14,1.3,3.99,5.48,27.39,NA,6.68,-142.3,497.8,0.24,324,0.7840909090909091,39.37767,-91.40855,205.5,994.9333333333334
270,2025-07-28,2025-07-28T16:15:02Z,8.112,8.112,9.937,0.15,1.3,2.95,5.03,24.58,NA,6.67,-139.4,497.1,0.24,323,0.7850435492651062,39.37768,-91.40855,205.8,994.9333333333334
270,2025-07-28,2025-07-28T16:14:41Z,8.114,8.114,9.996,0.16,1.4,4.36,10,20.58,NA,6.66,-132.6,495.7,0.24,322,0.7852476864452912,39.37768,-91.40854,204.9,994.9333333333334
270,2025-07-28,2025-07-28T16:11:11Z,0.029,0.029,32.964,12,167,1.19,0.2,1.96,NA,8.94,72.9,177.8,0.08,116,0.00278987479586282,39.37768,-91.40855,206.7,994.9333333333334
