MULakeNumber,date,dateTime,depth_m,verticalPosition_m,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU,phycoerythrinTAL_RFU,turbidity_FNU,pH,orp_mV,specificConductivity_uSpcm,salinity_psu,tds_mgpL,waterPressure_barA,latitude,longitude,altitude_m,barometerAirHandheld_mbars
111-C5-0095,2025-10-10,2025-10-10T12:48:29Z,0.178,0.178,22.249,7.66,88,1.51,2.91,2.54,NA,7.6,183.6,148,0.07,96,0.01721556886227545,38.09293,-91.45689,277.7,989.8666666666667
111-C5-0095,2025-10-10,2025-10-10T12:48:33Z,0.229,0.229,22.268,7.66,88.1,1.47,2.77,1.58,NA,7.61,184,148.1,0.07,96,0.022114861186717474,38.09293,-91.45689,277.4,989.7333333333332
111-C5-0095,2025-10-10,2025-10-10T12:48:34Z,0.292,0.292,22.268,7.66,88,1.45,2.86,1.84,NA,7.61,184.5,148.1,0.07,96,0.028170930865541642,38.09293,-91.45689,277.3,989.8666666666667
111-C5-0095,2025-10-10,2025-10-10T12:48:38Z,0.337,0.337,22.256,7.66,88.1,1.68,3.1,1.98,NA,7.62,184.9,148,0.07,96,0.03259390310288514,38.09293,-91.45689,277.2,989.7333333333332
111-C5-0095,2025-10-10,2025-10-10T12:48:39Z,0.363,0.363,22.252,7.67,88.1,1.77,3.07,2.53,NA,7.62,185,148,0.07,96,0.03504354926510615,38.09293,-91.45689,277.2,989.8666666666667
111-C5-0095,2025-10-10,2025-10-10T12:48:40Z,0.393,0.393,22.253,7.67,88.1,1.84,2.94,2.44,NA,7.62,185,148.1,0.07,96,0.0379695155144257,38.09293,-91.45689,277,989.8666666666667
111-C5-0095,2025-10-10,2025-10-10T12:48:41Z,0.433,0.433,22.25,7.67,88.1,1.97,2.99,2.24,NA,7.62,185.1,148.2,0.07,96,0.041848121937942295,38.09293,-91.45689,276.9,990
111-C5-0095,2025-10-10,2025-10-10T12:48:42Z,0.458,0.458,22.242,7.66,88.1,2,3.12,2.22,NA,7.63,185.1,148.2,0.07,96,0.04416167664670659,38.09293,-91.45689,277,989.8666666666667
111-C5-0095,2025-10-10,2025-10-10T12:48:44Z,0.575,0.575,22.205,7.67,88.1,2.29,3.31,3.88,NA,7.63,185.3,148.2,0.07,96,0.05552531301034295,38.09293,-91.45688,276.9,990
111-C5-0095,2025-10-10,2025-10-10T12:48:45Z,0.636,0.636,22.174,7.68,88.2,2.31,3.25,4.29,NA,7.63,185.4,148.2,0.07,96,0.06137724550898204,38.09293,-91.45688,276.8,989.8666666666667
111-C5-0095,2025-10-10,2025-10-10T12:48:46Z,0.762,0.762,22.142,7.68,88.1,2.4,3.28,4.4,NA,7.64,185.4,148.1,0.07,96,0.07355743059335873,38.09293,-91.45688,276.9,989.8666666666667
111-C5-0095,2025-10-10,2025-10-10T12:48:47Z,0.826,0.826,22.121,7.68,88.1,2.4,3.39,4.43,NA,7.64,185.5,148,0.07,96,0.07974959172563963,38.09293,-91.45688,277,989.7333333333332
111-C5-0095,2025-10-10,2025-10-10T12:48:50Z,0.885,0.885,22.094,7.66,87.8,2.37,3.32,3.58,NA,7.64,185.9,148.2,0.07,96,0.085465432770822,38.09293,-91.45688,277,989.8666666666667
111-C5-0095,2025-10-10,2025-10-10T12:48:49Z,0.908,0.908,22.08,7.68,87.9,2.34,3.21,3.43,NA,7.64,185.7,148.2,0.07,96,0.08771094175285792,38.09293,-91.45688,277,989.7333333333332
111-C5-0095,2025-10-10,2025-10-10T12:48:54Z,0.979,0.979,22.069,7.6,87.1,2.42,3.3,4.25,NA,7.64,186.7,148.6,0.07,97,0.09458356015242242,38.09293,-91.45688,276.5,989.7333333333332
111-C5-0095,2025-10-10,2025-10-10T12:48:57Z,1.04,1.04,22.067,7.56,86.6,2.47,3.41,4.04,NA,7.64,187.1,148.5,0.07,97,0.10043549265106151,38.09293,-91.45689,276.1,989.8666666666667
111-C5-0095,2025-10-10,2025-10-10T12:49:03Z,1.099,1.099,22.061,7.53,86.2,2.47,3.28,4.02,NA,7.64,188.4,148.7,0.07,97,0.10608328796951551,38.09292,-91.4569,276.4,990
111-C5-0095,2025-10-10,2025-10-10T12:49:04Z,1.139,1.139,22.056,7.51,86,2.42,3.38,3.98,NA,7.64,188.8,148.6,0.07,97,0.10996189439303213,38.09291,-91.45691,276.4,989.8666666666667
