MULakeNumber,date,dateTime,depth_m,verticalPosition_m,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU,phycoerythrinTAL_RFU,turbidity_FNU,pH,orp_mV,specificConductivity_uSpcm,salinity_psu,tds_mgpL,waterPressure_barA,latitude,longitude,altitude_m,barometerAirHandheld_mbars
219,2025-10-06,2025-10-06T11:53:48Z,0.126,0.126,24.011,7.53,89.5,3.69,1.5,2.31,NA,7.02,-31.4,197.8,0.09,129,0.012180185084376701,38.9942,-92.48838,234.6,990.4
219,2025-10-06,2025-10-06T11:53:49Z,0.152,0.152,24.013,7.54,89.6,3.98,1.51,2.4,NA,7.03,-30.6,197.9,0.09,129,0.014697876973326075,38.9942,-92.48838,234.5,990.4
219,2025-10-06,2025-10-06T11:53:50Z,0.204,0.204,24.015,7.54,89.6,4.1,1.54,2.43,NA,7.04,-29.8,197.9,0.09,129,0.01966521502449646,38.9942,-92.48838,234.5,990.4
219,2025-10-06,2025-10-06T11:53:51Z,0.249,0.249,24.013,7.54,89.7,3.93,1.6,2.64,NA,7.05,-29,197.8,0.09,129,0.024020141535111596,38.9942,-92.48838,234.5,990.4
219,2025-10-06,2025-10-06T11:53:52Z,0.277,0.277,24.01,7.55,89.7,3.89,1.69,2.73,NA,7.06,-28.1,197.8,0.09,129,0.026741970604246056,38.9942,-92.48838,234.5,990.4
219,2025-10-06,2025-10-06T11:53:53Z,0.324,0.324,24.009,7.55,89.8,4.05,1.68,2.71,NA,7.07,-27.3,197.9,0.09,129,0.03123298856831791,38.9942,-92.48838,234.4,990.4
219,2025-10-06,2025-10-06T11:53:54Z,0.392,0.392,24.006,7.55,89.8,4.09,1.63,2.59,NA,7.08,-26.3,198,0.09,129,0.03783342406096898,38.9942,-92.48838,234.3,990.5333333333333
219,2025-10-06,2025-10-06T11:53:55Z,0.497,0.497,23.995,7.56,89.8,4.08,1.65,2.84,NA,7.09,-25.5,198,0.09,129,0.047972237343494824,38.9942,-92.48838,234.2,990.4
219,2025-10-06,2025-10-06T11:53:56Z,0.613,0.613,23.97,7.56,89.9,4.2,1.65,3.05,NA,7.1,-24.8,198,0.09,129,0.05913173652694611,38.9942,-92.48838,234.3,990.5333333333333
219,2025-10-06,2025-10-06T11:53:57Z,0.708,0.708,23.946,7.56,89.8,4.25,1.62,2.91,NA,7.11,-24.1,198,0.09,129,0.06831790963527491,38.9942,-92.48838,234.2,990.5333333333333
