MULakeNumber,date,dateTime,depth_m,verticalPosition_m,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU,phycoerythrinTAL_RFU,turbidity_FNU,pH,orp_mV,specificConductivity_uSpcm,salinity_psu,tds_mgpL,waterPressure_barA,latitude,longitude,altitude_m,barometerAirHandheld_mbars
219,2025-12-04,2025-12-04T10:57:49Z,0.118,0.118,2.404,20.37,149,1.52,1.24,7.28,NA,8.73,182.9,284.5,0.13,185,0.011431682090364726,38.99376,-92.48927,234.6,1000.9333333333334
219,2025-12-04,2025-12-04T10:57:53Z,0.189,0.189,2.406,19.21,140.5,1.48,1.17,6.7,NA,8.51,182.9,251.1,0.12,163,0.018304300489929235,38.99376,-92.48927,235.5,1000.8000000000001
219,2025-12-04,2025-12-04T10:57:54Z,0.221,0.221,2.409,18.94,138.6,1.48,1.12,6.65,NA,8.48,182.7,247,0.12,161,0.02143440391943386,38.99376,-92.48927,235.9,1000.8000000000001
219,2025-12-04,2025-12-04T10:57:56Z,0.26,0.26,2.404,18.39,134.5,1.5,1.3,6.9,NA,8.43,183,233.1,0.11,152,0.02517691888949374,38.99376,-92.48927,235.3,1000.8000000000001
219,2025-12-04,2025-12-04T10:57:57Z,0.314,0.314,2.401,18.13,132.6,1.5,1.26,6.89,NA,8.4,183.2,225.6,0.11,147,0.030348394120849213,38.99376,-92.48927,235.1,1000.8000000000001
219,2025-12-04,2025-12-04T10:57:58Z,0.358,0.358,2.4,17.89,130.9,1.53,1.26,7.05,NA,8.38,183.3,218.7,0.1,142,0.03463527490473598,38.99376,-92.48927,235.3,1000.8000000000001
219,2025-12-04,2025-12-04T10:58:00Z,0.411,0.411,2.399,17.42,127.4,1.74,1.43,7.37,NA,8.36,183.4,210.8,0.1,137,0.03980675013609145,38.99375,-92.48927,235.3,1000.9333333333334
219,2025-12-04,2025-12-04T10:58:01Z,0.488,0.488,2.398,17.18,125.7,1.79,1.49,7.47,NA,8.35,183.2,208.6,0.1,136,0.04729178007621121,38.99375,-92.48927,235.5,1000.8000000000001
219,2025-12-04,2025-12-04T10:58:02Z,0.55,0.55,2.396,17,124.4,1.74,1.52,7.69,NA,8.35,183.1,207.8,0.1,135,0.05321175830157866,38.99374,-92.48928,235.3,1000.9333333333334
219,2025-12-04,2025-12-04T10:58:03Z,0.584,0.584,2.389,16.8,122.8,1.74,1.47,7.81,NA,8.34,183.1,207.3,0.1,135,0.05647795318454001,38.99373,-92.48928,235.2,1000.8000000000001
219,2025-12-04,2025-12-04T10:58:04Z,0.619,0.619,2.381,16.63,121.6,1.83,1.48,8.14,NA,8.33,183.1,205.8,0.1,134,0.059880239520958084,38.99373,-92.48928,234.9,1000.9333333333334
219,2025-12-04,2025-12-04T10:58:05Z,0.669,0.669,2.378,16.47,120.4,1.91,1.51,8.54,NA,8.33,183.2,204.1,0.1,133,0.06471148611867175,38.99373,-92.48928,234.7,1000.8000000000001
219,2025-12-04,2025-12-04T10:58:06Z,0.703,0.703,2.377,16.32,119.3,1.96,1.52,8.83,NA,8.32,183.3,203.4,0.1,132,0.06804572672836146,38.99373,-92.48928,234.6,1000.8000000000001
219,2025-12-04,2025-12-04T10:58:07Z,0.727,0.727,2.377,16.16,118.1,1.99,1.55,9.12,NA,8.31,183.3,202,0.1,131,0.07035928143712575,38.99373,-92.48928,234.4,1000.9333333333334
219,2025-12-04,2025-12-04T10:58:08Z,0.785,0.785,2.374,16.03,117.1,2.07,1.56,9.35,NA,8.31,183.3,201,0.09,131,0.07600707675557974,38.99372,-92.48928,234.3,1000.9333333333334
219,2025-12-04,2025-12-04T10:58:09Z,0.818,0.818,2.37,15.89,116.1,2.11,1.49,9.29,NA,8.3,183.3,200.3,0.09,130,0.07913718018508438,38.99372,-92.48928,234.3,1000.8000000000001
219,2025-12-04,2025-12-04T10:58:10Z,0.846,0.846,2.371,15.77,115.3,2.19,1.55,9.46,NA,8.3,183.3,199.9,0.09,130,0.08185900925421884,38.99372,-92.48928,233.9,1000.8000000000001
219,2025-12-04,2025-12-04T10:58:11Z,0.886,0.886,2.369,15.64,114.3,2.33,1.66,9.81,NA,8.3,183.3,199.4,0.09,130,0.08573761567773544,38.99372,-92.48927,233.6,1000.9333333333334
219,2025-12-04,2025-12-04T10:58:12Z,0.919,0.919,2.367,15.53,113.5,2.33,1.67,9.88,NA,8.3,183.3,198.8,0.09,129,0.0890038105606968,38.99372,-92.48927,232.3,1000.8000000000001
219,2025-12-04,2025-12-04T10:58:13Z,0.963,0.963,2.366,15.41,112.6,2.38,1.71,10.09,NA,8.29,183.4,198.5,0.09,129,0.0932226456178552,38.99372,-92.48927,232.2,1000.8000000000001
219,2025-12-04,2025-12-04T10:58:14Z,0.997,0.997,2.366,15.33,112,2.42,1.7,10.46,NA,8.29,183.4,198.3,0.09,129,0.09648884050081655,38.99372,-92.48927,232,1000.8000000000001
219,2025-12-04,2025-12-04T10:58:15Z,1.032,1.032,2.366,15.23,111.3,2.49,1.76,11,NA,8.29,183.4,198.1,0.09,129,0.09989112683723463,38.99372,-92.48927,231.9,1000.8000000000001
219,2025-12-04,2025-12-04T10:58:17Z,1.09,1.09,2.37,15.04,109.9,2.82,1.84,11.93,NA,8.28,183.4,197.8,0.09,129,0.10547087642896026,38.99372,-92.48927,231.9,1000.8000000000001
219,2025-12-04,2025-12-04T10:58:18Z,1.117,1.117,2.367,14.96,109.3,2.87,1.86,12.13,NA,8.28,183.4,197.6,0.09,128,0.10805661404463801,38.99372,-92.48927,232.1,1000.8000000000001
219,2025-12-04,2025-12-04T10:58:20Z,1.14,1.14,2.361,14.82,108.2,3.04,2.01,12.78,NA,8.27,183.4,197.7,0.09,128,0.11030212302667393,38.99372,-92.48927,232.3,1000.8000000000001
219,2025-12-04,2025-12-04T10:58:21Z,1.167,1.167,2.36,14.74,107.7,3.2,2.06,13.43,NA,8.27,183.5,197.8,0.09,129,0.11295590636908003,38.99372,-92.48927,232.7,1000.8000000000001
219,2025-12-04,2025-12-04T10:58:22Z,1.238,1.238,2.358,14.68,107.2,3.35,2.11,14.25,NA,8.27,183.6,198,0.09,129,0.11982852476864453,38.99372,-92.48927,232.2,1000.9333333333334
219,2025-12-04,2025-12-04T10:58:23Z,1.266,1.266,2.356,14.62,106.8,3.27,2.13,14.75,NA,8.26,183.6,197.9,0.09,129,0.12255035383777899,38.99372,-92.48927,232.1,1000.8000000000001
219,2025-12-04,2025-12-04T10:58:25Z,1.297,1.297,2.356,14.5,105.9,3.2,2.04,15.42,NA,8.26,183.6,197.4,0.09,128,0.12554436581382689,38.99372,-92.48927,232,1000.8000000000001
219,2025-12-04,2025-12-04T10:58:26Z,1.329,1.329,2.356,14.45,105.5,3.5,2.16,15.82,NA,8.26,183.6,197.6,0.09,128,0.12860642351660315,38.99372,-92.48927,231.8,1000.9333333333334
219,2025-12-04,2025-12-04T10:58:28Z,1.37,1.37,2.358,14.35,104.8,3.65,2.18,15.27,NA,8.26,183.5,197.7,0.09,129,0.13262112139357649,38.99372,-92.48927,232.2,1000.8000000000001
219,2025-12-04,2025-12-04T10:58:29Z,1.398,1.398,2.358,14.3,104.5,3.54,2.18,15.02,NA,8.26,183.5,197.7,0.09,128,0.13527490473598258,38.99372,-92.48927,232.3,1000.8000000000001
219,2025-12-04,2025-12-04T10:58:30Z,1.438,1.438,2.357,14.26,104.2,3.44,2.16,15.31,NA,8.26,183.5,197.5,0.09,128,0.13915351115949917,38.99372,-92.48927,232.2,1000.8000000000001
219,2025-12-04,2025-12-04T10:58:31Z,1.469,1.469,2.357,14.23,103.9,3.65,2.22,16.39,NA,8.26,183.5,197.5,0.09,128,0.1421475231355471,38.99372,-92.48927,231.9,1001.0666666666666
219,2025-12-04,2025-12-04T10:58:32Z,1.498,1.498,2.357,14.2,103.7,4.16,2.3,16.82,NA,8.25,183.5,197.4,0.09,128,0.14500544365813825,38.99372,-92.48927,231.8,1000.9333333333334
