MULakeNumber,date,dateTime,depth_m,verticalPosition_m,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU,phycoerythrinTAL_RFU,turbidity_FNU,pH,orp_mV,specificConductivity_uSpcm,salinity_psu,tds_mgpL,waterPressure_barA,latitude,longitude,altitude_m,barometerAirHandheld_mbars
111-C8-0182,2025-06-24,2025-06-24T10:31:09Z,-0.022,0.035,28.463,8.37,107.9,0.86,3.22,10.03,NA,8.23,177.5,129.3,0.06,84,NA,38.08225,-91.44726,274.2,990.8000000000001
111-C8-0182,2025-06-24,2025-06-24T10:31:10Z,0.113,0.21,28.428,8.41,108.4,0.91,3.34,10.77,NA,8.22,177.5,129.3,0.06,84,0.010955362003266196,38.08224,-91.44726,274.1,990.8000000000001
111-C8-0182,2025-06-24,2025-06-24T10:31:11Z,0.321,0.371,28.239,8.43,108.3,0.92,3.65,11.74,NA,8.21,177.8,129.5,0.06,84,0.030960805661404467,38.08224,-91.44726,274.2,990.8000000000001
111-C8-0182,2025-06-24,2025-06-24T10:31:12Z,0.517,0.609,28.116,8.43,108.1,0.92,3.95,12.33,NA,8.18,178,129.8,0.06,84,0.049809471965160584,38.08224,-91.44726,274.2,990.8000000000001
111-C8-0182,2025-06-24,2025-06-24T10:31:13Z,0.798,0.867,28.002,8.4,107.4,0.86,4.04,12.09,NA,8.16,178.3,129.9,0.06,84,0.07689167120304845,38.08225,-91.44726,274.3,990.8000000000001
111-C8-0182,2025-06-24,2025-06-24T10:31:14Z,0.944,0.983,27.976,8.36,106.7,0.84,3.91,12.01,NA,8.14,178.3,129.9,0.06,84,0.09104518236254763,38.08225,-91.44726,274.2,990.6666666666666
111-C8-0182,2025-06-24,2025-06-24T10:31:15Z,1.015,1.016,27.968,8.29,105.9,0.9,3.76,12.66,NA,8.12,178.5,129.8,0.06,84,0.09784975503538378,38.08225,-91.44726,274.3,990.8000000000001
