MULakeNumber,date,dateTime,depth_m,verticalPosition_m,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU,phycoerythrinTAL_RFU,turbidity_FNU,pH,orp_mV,specificConductivity_uSpcm,salinity_psu,tds_mgpL,waterPressure_barA,latitude,longitude,altitude_m,barometerAirHandheld_mbars
088,2026-05-27,2026-05-27T10:43:54Z,0.416,0.416,24.339,3.68,43.9,3.35,0.62,7.68,NA,8.47,-74.6,173.4,0.08,113,0.040215024496461624,39.66327,-92.99522,230,988.5333333333333
088,2026-05-27,2026-05-27T10:43:55Z,0.445,0.445,24.579,4.5,54,3.19,0.62,7.91,NA,8.55,-70.9,174.1,0.08,113,0.04286880783886772,39.66327,-92.99522,230,988.4
088,2026-05-27,2026-05-27T10:43:56Z,0.532,0.532,24.569,5.37,64.5,3.27,0.64,7.97,NA,8.73,-58.8,174.9,0.08,114,0.05130647795318454,39.66327,-92.99522,230.1,988.4
088,2026-05-27,2026-05-27T10:43:57Z,0.558,0.558,24.526,6.11,73.4,3.25,0.65,7.82,NA,8.78,-52.1,174.9,0.08,114,0.053824169842133916,39.66327,-92.99522,230.3,988.4
088,2026-05-27,2026-05-27T10:43:59Z,0.592,0.592,24.427,7.23,86.6,3.48,0.66,8.17,NA,8.82,-44.1,174.8,0.08,114,0.05715841045182363,39.66327,-92.99522,230.4,988.5333333333333
088,2026-05-27,2026-05-27T10:44:00Z,0.622,0.622,24.378,7.45,89.2,3.63,0.69,8.54,NA,8.83,-40.1,174.9,0.08,114,0.06008437670114317,39.66327,-92.99522,230.5,988.5333333333333
088,2026-05-27,2026-05-27T10:44:01Z,0.662,0.662,24.411,8.07,96.6,3.86,0.75,9.21,NA,8.84,-35.2,174.7,0.08,114,0.06389493739793141,39.66327,-92.99523,230.4,988.4
088,2026-05-27,2026-05-27T10:44:02Z,0.694,0.694,24.454,8.39,100.5,3.97,0.75,9.39,NA,8.85,-30.4,174.4,0.08,113,0.06695699510070767,39.66327,-92.99522,230.3,988.5333333333333
088,2026-05-27,2026-05-27T10:44:03Z,0.743,0.743,24.453,8.73,104.6,3.96,0.75,9.28,NA,8.86,-25.5,174.2,0.08,113,0.07165215024496462,39.66327,-92.99522,230.1,988.5333333333333
088,2026-05-27,2026-05-27T10:44:04Z,0.798,0.798,24.449,8.86,106.2,3.85,0.78,9.23,NA,8.88,-22,174.4,0.08,113,0.07702776265650517,39.66327,-92.99522,230.1,988.5333333333333
088,2026-05-27,2026-05-27T10:44:05Z,0.823,0.823,24.448,9.07,108.7,3.66,0.72,8.85,NA,8.89,-18.5,174.5,0.08,113,0.07940936309199782,39.66327,-92.99522,230,988.5333333333333
088,2026-05-27,2026-05-27T10:43:52Z,1.047,1.047,21.8,1.9,21.5,3.18,0.6,5.66,NA,7.74,-73.9,178.2,0.08,116,0.1011839956450735,39.66327,-92.99522,229.8,988.4
088,2026-05-27,2026-05-27T10:43:51Z,1.535,1.535,21.148,1.21,13.5,3.17,0.55,4.77,NA,7.42,-77.3,178.4,0.08,116,0.14827163854109962,39.66327,-92.99522,229.8,988.5333333333333
088,2026-05-27,2026-05-27T10:43:50Z,1.937,1.937,20.816,0.83,9.2,2.75,0.41,3.94,NA,7.41,-83.3,179.1,0.08,116,0.18712574850299402,39.66327,-92.99522,229.7,988.5333333333333
