MULakeNumber,date,dateTime,depth_m,verticalPosition_m,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU,phycoerythrinTAL_RFU,turbidity_FNU,pH,orp_mV,specificConductivity_uSpcm,salinity_psu,tds_mgpL,waterPressure_barA,latitude,longitude,altitude_m,barometerAirHandheld_mbars
110,2026-06-03,2026-06-03T16:08:50Z,0.122,0.122,26.715,8.84,110.4,0.32,-0.01,1.18,NA,8.05,225,103.9,0.05,68,0.011771910724006532,37.99583,-91.69104,312.9,984.4
110,2026-06-03,2026-06-03T16:08:51Z,0.229,0.229,26.695,8.86,110.6,0.34,-0.03,1.4,NA,8.05,225.1,104,0.05,68,0.022114861186717474,37.99583,-91.69104,313,984.4
110,2026-06-03,2026-06-03T16:08:52Z,0.315,0.315,26.669,8.87,110.7,0.35,0.05,1.36,NA,8.05,225.3,103.9,0.05,68,0.030416439847577574,37.99583,-91.69103,312.4,984.4
110,2026-06-03,2026-06-03T16:08:53Z,0.406,0.406,26.627,8.9,111,0.34,0.07,1.42,NA,8.05,225.4,103.7,0.05,67,0.03912629286880784,37.99583,-91.69103,312.3,984.2666666666668
110,2026-06-03,2026-06-03T16:08:57Z,0.467,0.467,26.54,8.96,111.6,0.39,0.07,1.56,NA,8.07,225.3,104,0.05,68,0.04497822536744693,37.99584,-91.69103,313.6,984.2666666666668
110,2026-06-03,2026-06-03T16:08:58Z,0.512,0.512,26.422,8.96,111.5,0.38,0.03,1.53,NA,8.08,225.3,104.1,0.05,68,0.04940119760479042,37.99584,-91.69103,313.4,984.2666666666668
110,2026-06-03,2026-06-03T16:08:59Z,0.552,0.552,26.322,8.99,111.6,0.34,0.06,1.4,NA,8.09,225.4,104.3,0.05,68,0.05321175830157866,37.99584,-91.69102,313.4,984.2666666666668
110,2026-06-03,2026-06-03T16:09:01Z,0.601,0.601,26.185,9.07,112.2,0.37,0.13,1.7,NA,8.1,225.2,104.3,0.05,68,0.0579069134458356,37.99584,-91.69102,313.5,984.2666666666668
110,2026-06-03,2026-06-03T16:09:02Z,0.641,0.641,26.183,9.08,112.3,0.4,0.07,1.76,NA,8.11,225.2,104,0.05,68,0.061853565596080566,37.99584,-91.69102,313.5,984.2666666666668
110,2026-06-03,2026-06-03T16:09:03Z,0.667,0.667,26.162,9.09,112.4,0.44,0.12,1.72,NA,8.11,225.2,103.8,0.05,67,0.06437125748502993,37.99584,-91.69102,313.5,984.2666666666668
110,2026-06-03,2026-06-03T16:09:05Z,0.705,0.705,26.099,9.11,112.5,0.56,0.11,2.11,NA,8.11,225.1,103.9,0.05,68,0.06804572672836146,37.99584,-91.69102,313.4,984.2666666666668
110,2026-06-03,2026-06-03T16:09:06Z,0.73,0.73,26.11,9.12,112.7,0.56,0.04,2.05,NA,8.11,225.1,103.9,0.05,68,0.07035928143712575,37.99584,-91.69102,313.3,984.2666666666668
110,2026-06-03,2026-06-03T16:09:07Z,0.758,0.758,26.129,9.12,112.7,0.48,-0.02,1.79,NA,8.11,225.1,103.7,0.05,67,0.07314915623298857,37.99584,-91.69102,313.3,984.2666666666668
110,2026-06-03,2026-06-03T16:09:09Z,0.783,0.783,26.085,9.14,112.9,0.47,0.11,1.8,NA,8.12,225.1,103.7,0.05,67,0.07553075666848123,37.99584,-91.69102,313.2,984.4
