MULakeNumber,date,dateTime,depth_m,verticalPosition_m,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU,phycoerythrinTAL_RFU,turbidity_FNU,pH,orp_mV,specificConductivity_uSpcm,salinity_psu,tds_mgpL,waterPressure_barA,latitude,longitude,altitude_m,barometerAirHandheld_mbars
270,2026-06-22,2026-06-22T15:22:01Z,0.025,0.025,24.05,10.31,122.7,5.86,0.79,20.91,NA,8.87,145.1,255.6,0.12,166,0.0023816004354926513,39.37732,-91.40866,203.6,992.6666666666666
270,2026-06-22,2026-06-22T15:22:02Z,0.047,0.047,24.049,10.32,122.8,6.01,0.86,21.19,NA,8.87,145.2,255.4,0.12,166,0.004559063690800218,39.37732,-91.40866,203.7,992.6666666666666
270,2026-06-22,2026-06-22T15:22:03Z,0.07,0.07,24.05,10.32,122.8,6.23,0.9,20.68,NA,8.87,145.3,255.4,0.12,166,0.006736526946107785,39.37732,-91.40866,203.5,992.6666666666666
270,2026-06-22,2026-06-22T15:22:05Z,0.14,0.14,24.054,10.33,122.9,6.56,1.07,23.08,NA,8.87,145.4,255.5,0.12,166,0.013541099618943932,39.37732,-91.40866,203.6,992.5333333333333
270,2026-06-22,2026-06-22T15:22:06Z,0.232,0.232,24.059,10.33,122.9,6.82,1.11,24.03,NA,8.87,145.7,255.6,0.12,166,0.02238704409363092,39.37732,-91.40866,203.5,992.6666666666666
270,2026-06-22,2026-06-22T15:22:07Z,0.346,0.346,24.053,10.33,122.9,7.01,1.09,24.51,NA,8.87,146.2,255.8,0.12,166,0.033410451823625474,39.37732,-91.40866,203.6,992.5333333333333
270,2026-06-22,2026-06-22T15:22:08Z,0.455,0.455,24.035,10.33,122.9,7.15,1.03,25.32,NA,8.86,146.2,256,0.12,166,0.043957539466521506,39.37732,-91.40866,203.7,992.6666666666666
270,2026-06-22,2026-06-22T15:22:09Z,0.527,0.527,24.024,10.34,122.9,7.26,0.96,26.38,NA,8.86,146.2,256.1,0.12,166,0.05089820359281437,39.37732,-91.40866,203.6,992.5333333333333
270,2026-06-22,2026-06-22T15:22:10Z,0.637,0.637,24.017,10.33,122.9,7.16,0.94,26.49,NA,8.86,146.2,256,0.12,166,0.0614452912357104,39.37732,-91.40866,203.6,992.6666666666666
270,2026-06-22,2026-06-22T15:22:11Z,0.686,0.686,24.006,10.33,122.8,7.13,0.91,26.73,NA,8.86,146.3,256,0.12,166,0.06627653783342406,39.37732,-91.40866,203.5,992.6666666666666
270,2026-06-22,2026-06-22T15:22:12Z,0.728,0.728,23.988,10.31,122.6,7.03,0.97,25.47,NA,8.86,146.3,256.1,0.12,166,0.07022318998366903,39.37732,-91.40865,203.4,992.6666666666666
270,2026-06-22,2026-06-22T15:22:13Z,0.812,0.812,23.978,10.29,122.3,6.76,0.97,24.45,NA,8.85,146.4,256.4,0.12,167,0.07832063146434404,39.37732,-91.40865,203.4,992.6666666666666
270,2026-06-22,2026-06-22T15:22:14Z,0.888,0.888,23.947,10.25,121.8,6.49,1.02,23.97,NA,8.83,147,256.8,0.12,167,0.08573761567773544,39.37732,-91.40865,203.2,992.6666666666666
270,2026-06-22,2026-06-22T15:22:15Z,0.93,0.93,23.937,10.2,121.1,6.29,1.05,23.5,NA,8.82,147.2,257,0.12,167,0.08975231355470877,39.37732,-91.40865,203.2,992.6666666666666
270,2026-06-22,2026-06-22T15:22:16Z,1.01,1.01,23.923,10.13,120.2,5.73,1.02,22.17,NA,8.81,147.2,257.3,0.12,167,0.09750952640174197,39.37732,-91.40865,203,992.5333333333333
270,2026-06-22,2026-06-22T15:22:17Z,1.089,1.089,23.891,10.04,119.1,5.13,0.83,19.72,NA,8.8,147.3,258,0.12,168,0.10513064779531846,39.37732,-91.40865,202.7,992.6666666666666
270,2026-06-22,2026-06-22T15:22:18Z,1.159,1.159,23.877,9.94,117.8,4.96,0.72,19.79,NA,8.78,147.6,258.3,0.12,168,0.11186717474142624,39.37732,-91.40865,202.6,992.6666666666666
270,2026-06-22,2026-06-22T15:22:19Z,1.206,1.206,23.872,9.82,116.4,4.57,0.68,18.39,NA,8.77,147.9,258.2,0.12,168,0.11642623843222646,39.37732,-91.40865,202.7,992.5333333333333
270,2026-06-22,2026-06-22T15:22:20Z,1.257,1.257,23.853,9.66,114.5,4.41,0.72,17.95,NA,8.77,148.1,258.5,0.12,168,0.12132553075666848,39.37732,-91.40865,202.6,992.6666666666666
270,2026-06-22,2026-06-22T15:22:21Z,1.287,1.287,23.793,9.52,112.8,4.68,0.78,20.41,NA,8.76,148.3,259,0.12,168,0.12425149700598803,39.37732,-91.40865,202.5,992.6666666666666
270,2026-06-22,2026-06-22T15:22:22Z,1.332,1.332,23.742,9.28,109.9,4.89,0.72,20.98,NA,8.75,148.6,259.6,0.12,169,0.12860642351660315,39.37732,-91.40865,202.4,992.6666666666666
270,2026-06-22,2026-06-22T15:22:23Z,1.362,1.362,23.731,9.02,106.7,4.42,0.66,19.95,NA,8.73,149,260,0.12,169,0.13146434403919433,39.37732,-91.40865,202.4,992.6666666666666
270,2026-06-22,2026-06-22T15:22:24Z,1.4,1.4,23.728,8.43,99.7,3.64,0.52,20.17,NA,8.7,149.3,260.1,0.12,169,0.13513881328252586,39.37732,-91.40865,202.5,992.5333333333333
270,2026-06-22,2026-06-22T15:22:26Z,1.452,1.452,23.59,7.92,93.5,3.71,0.45,17.4,NA,8.63,150.9,264.5,0.13,172,0.1401741970604246,39.37732,-91.40865,202.6,992.6666666666666
270,2026-06-22,2026-06-22T15:22:27Z,1.497,1.497,23.547,7.84,92.5,3.74,0.46,15.75,NA,8.57,151.8,266.4,0.13,173,0.14452912357103975,39.37732,-91.40866,202.7,992.5333333333333
270,2026-06-22,2026-06-22T15:22:28Z,1.536,1.536,23.522,7.67,90.3,3.76,0.5,14.7,NA,8.53,152.3,267.9,0.13,174,0.14827163854109962,39.37732,-91.40866,202.7,992.6666666666666
270,2026-06-22,2026-06-22T15:22:29Z,1.557,1.557,23.534,7.48,88.1,3.6,0.47,14.35,NA,8.49,152.7,268.7,0.13,175,0.15031301034295047,39.37732,-91.40866,202.6,992.6666666666666
270,2026-06-22,2026-06-22T15:22:30Z,1.622,1.622,23.523,7.27,85.7,3.43,0.36,14.37,NA,8.47,153.6,270.4,0.13,176,0.15657321720195974,39.37732,-91.40866,202.6,992.6666666666666
270,2026-06-22,2026-06-22T15:22:31Z,1.729,1.729,23.279,7.12,83.7,3.29,0.36,13.17,NA,8.43,154.8,274.5,0.13,178,0.16691616766467066,39.37732,-91.40866,202.6,992.6666666666666
270,2026-06-22,2026-06-22T15:22:32Z,1.812,1.812,23.036,7.01,82,3.17,0.41,11.92,NA,8.35,156.4,287.3,0.14,187,0.17494556341861733,39.37733,-91.40866,202.6,992.6666666666666
270,2026-06-22,2026-06-22T15:22:33Z,1.864,1.864,22.922,6.94,81,3.05,0.29,11.27,NA,8.27,158,302.6,0.14,197,0.18004899292324442,39.37733,-91.40866,202.6,992.6666666666666
270,2026-06-22,2026-06-22T15:22:34Z,1.96,1.96,22.722,6.85,79.7,3.39,0.51,12.98,NA,8.2,159,310.4,0.15,202,0.1893032117583016,39.37733,-91.40866,202.5,992.6666666666666
270,2026-06-22,2026-06-22T15:22:35Z,2.091,2.091,22.392,6.72,77.8,3.55,0.77,16.52,NA,8.16,159.6,316.8,0.15,206,0.20195971692977682,39.37733,-91.40866,202.4,992.6666666666666
270,2026-06-22,2026-06-22T15:22:36Z,2.147,2.147,22.173,6.58,75.7,3.83,0.93,16.85,NA,8.11,160,318.2,0.15,207,0.20733532934131738,39.37733,-91.40866,202.5,992.6666666666666
270,2026-06-22,2026-06-22T15:22:37Z,2.183,2.183,21.719,6.41,73.4,3.8,1.03,18.5,NA,8.08,160.3,318.7,0.15,207,0.2108056614044638,39.37733,-91.40866,202.7,992.5333333333333
270,2026-06-22,2026-06-22T15:22:38Z,2.211,2.211,21.213,6.2,70.1,3.65,1.65,22.3,NA,8.05,160.5,317.2,0.15,206,0.21352749047359826,39.37733,-91.40866,202.7,992.5333333333333
270,2026-06-22,2026-06-22T15:22:39Z,2.257,2.257,20.883,6,67.4,3.67,4.21,27.33,NA,8.02,161.3,310,0.15,201,0.21801850843767012,39.37733,-91.40866,202.9,992.6666666666666
270,2026-06-22,2026-06-22T15:22:40Z,2.287,2.287,20.875,5.77,64.5,3.3,6.41,36.61,NA,7.99,161.8,305.8,0.15,199,0.22094447468698966,39.37733,-91.40866,202.9,992.6666666666666
270,2026-06-22,2026-06-22T15:22:41Z,2.34,2.34,20.895,5.48,61.5,2.84,7.86,40.19,NA,7.95,162.2,296.4,0.14,193,0.22604790419161677,39.37733,-91.40866,202.8,992.5333333333333
270,2026-06-22,2026-06-22T15:22:42Z,2.371,2.371,20.496,5.2,58.1,2.58,9.35,37.97,NA,7.92,162.9,291.5,0.14,189,0.22904191616766467,39.37733,-91.40866,202.8,992.5333333333333
270,2026-06-22,2026-06-22T15:22:43Z,2.41,2.41,20.296,4.99,55.3,2.9,9.67,39.27,NA,7.89,163.5,292.6,0.14,190,0.23278443113772454,39.37733,-91.40866,202.9,992.5333333333333
270,2026-06-22,2026-06-22T15:22:46Z,2.45,2.45,20.153,4.21,46.7,2.65,10.03,35.44,NA,7.82,164.4,293.5,0.14,191,0.23673108328796952,39.37733,-91.40866,202.6,992.6666666666666
270,2026-06-22,2026-06-22T15:22:47Z,2.482,2.482,19.63,4.05,44.4,2.36,9.67,31.29,NA,7.81,164.8,296,0.14,192,0.23986118671747414,39.37733,-91.40866,202.5,992.6666666666666
270,2026-06-22,2026-06-22T15:22:48Z,2.511,2.511,19.427,3.88,42.3,2,9.59,29.89,NA,7.79,165.2,296.1,0.14,192,0.24265106151333696,39.37733,-91.40866,202.3,992.5333333333333
270,2026-06-22,2026-06-22T15:22:49Z,2.535,2.535,19.22,3.72,40.4,1.9,8.9,29.2,NA,7.77,165.5,294.8,0.14,192,0.24496461622210125,39.37733,-91.40866,202.3,992.6666666666666
270,2026-06-22,2026-06-22T15:22:51Z,2.574,2.574,18.52,3.38,36.3,1.68,7.8,24.37,NA,7.74,166.3,294,0.14,191,0.2487751769188895,39.37733,-91.40866,202.3,992.6666666666666
270,2026-06-22,2026-06-22T15:22:52Z,2.634,2.634,18.347,3.22,34.4,1.48,6.9,19.5,NA,7.71,166.9,293,0.14,190,0.2546271094175286,39.37733,-91.40866,202.1,992.6666666666666
270,2026-06-22,2026-06-22T15:22:53Z,2.675,2.675,18.044,3.05,32.5,1.27,6.09,18.05,NA,7.69,167.7,293.3,0.14,191,0.25857376156777356,39.37733,-91.40866,202.1,992.6666666666666
270,2026-06-22,2026-06-22T15:22:54Z,2.709,2.709,17.599,2.86,30.1,1.17,5.45,17.31,NA,7.66,168.8,295.5,0.14,192,0.2618399564507349,39.37733,-91.40866,201.9,992.6666666666666
270,2026-06-22,2026-06-22T15:22:55Z,2.777,2.777,17.348,2.72,28.4,1.09,4.41,15.52,NA,7.63,169.6,296.8,0.14,193,0.2684403919433859,39.37733,-91.40866,201.9,992.6666666666666
