MULakeNumber,date,dateTime,depth_m,verticalPosition_m,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU,phycoerythrinTAL_RFU,turbidity_FNU,pH,orp_mV,specificConductivity_uSpcm,salinity_psu,tds_mgpL,waterPressure_barA,latitude,longitude,altitude_m,barometerAirHandheld_mbars
192,2026-07-08,2026-07-08T15:22:09Z,0.017,0.017,33.438,12.49,175.2,0.8,0.55,3.32,NA,9.24,73.1,142.2,0.06,92,0.0015650517147523136,39.71664,-93.32211,208.7,989.4666666666667
192,2026-07-08,2026-07-08T15:22:10Z,0.048,0.048,33.439,12.51,175.5,0.75,0.63,3.14,NA,9.24,73.2,142.2,0.06,92,0.004559063690800218,39.71664,-93.32211,208.5,989.4666666666667
192,2026-07-08,2026-07-08T15:22:11Z,0.095,0.095,33.419,12.52,175.7,0.77,0.63,3.19,NA,9.24,73.2,142.4,0.07,93,0.009186173108328798,39.71664,-93.32211,208.4,989.4666666666667
192,2026-07-08,2026-07-08T15:22:12Z,0.149,0.149,33.402,12.53,175.6,0.78,0.61,3.1,NA,9.24,73.2,142.6,0.07,93,0.014357648339684267,39.71664,-93.32211,208.4,989.4666666666667
192,2026-07-08,2026-07-08T15:22:13Z,0.208,0.208,33.395,12.56,176,0.8,0.6,3.03,NA,9.25,73.1,142.9,0.07,93,0.020005443658138267,39.71664,-93.3221,208.4,989.4666666666667
192,2026-07-08,2026-07-08T15:22:15Z,0.302,0.302,33.045,12.46,174.5,0.85,0.73,3.41,NA,9.25,73.1,143.6,0.07,93,0.029055525313010342,39.71664,-93.3221,208.4,989.4666666666667
192,2026-07-08,2026-07-08T15:22:16Z,0.468,0.468,32.07,12.56,173.2,0.99,0.98,4.19,NA,9.26,73.5,144.4,0.07,94,0.04504627109417529,39.71664,-93.3221,208.8,989.4666666666667
192,2026-07-08,2026-07-08T15:22:17Z,0.585,0.585,31.587,12.77,174.3,1.12,1.23,4.9,NA,9.26,74.1,143.1,0.07,93,0.056341861731083284,39.71663,-93.3221,208.9,989.4666666666667
192,2026-07-08,2026-07-08T15:22:18Z,0.643,0.643,31.442,12.87,174.8,1.23,1.22,4.94,NA,9.27,74.1,142.6,0.07,93,0.061921611322808934,39.71663,-93.3221,208.9,989.4666666666667
192,2026-07-08,2026-07-08T15:22:19Z,0.714,0.714,31.238,12.95,175.4,1.22,1.31,5.47,NA,9.27,74.1,142.8,0.07,93,0.06879422972237342,39.71663,-93.3221,209,989.6
192,2026-07-08,2026-07-08T15:22:21Z,0.744,0.744,31.229,13.1,176.8,1.25,1.35,6.01,NA,9.27,74.1,142.5,0.07,93,0.07165215024496462,39.71663,-93.32209,208.8,989.4666666666667
192,2026-07-08,2026-07-08T15:22:22Z,0.838,0.838,31.085,13.06,176.4,1.37,1.33,6.39,NA,9.27,74.4,141.9,0.07,92,0.08070223189983669,39.71663,-93.32209,208.8,989.3333333333334
192,2026-07-08,2026-07-08T15:22:23Z,0.928,0.928,30.923,13.13,176.7,1.53,1.34,6.39,NA,9.25,74.6,141.8,0.07,92,0.08934403919433859,39.71663,-93.32209,208.9,989.4666666666667
192,2026-07-08,2026-07-08T15:22:24Z,0.994,0.994,30.9,13.15,176.7,1.5,1.36,6.28,NA,9.25,74.5,141.8,0.07,92,0.09580838323353293,39.71663,-93.32209,208.8,989.4666666666667
192,2026-07-08,2026-07-08T15:22:25Z,1.106,1.106,30.737,13.09,175.7,1.53,1.38,6.84,NA,9.24,74.9,141.5,0.06,92,0.10649156232988569,39.71663,-93.32209,208.8,989.4666666666667
192,2026-07-08,2026-07-08T15:22:26Z,1.198,1.198,30.538,12.98,173.6,1.74,1.44,7.55,NA,9.19,75.8,141.1,0.06,92,0.11540555253130104,39.71663,-93.32209,208.7,989.4666666666667
192,2026-07-08,2026-07-08T15:22:27Z,1.272,1.272,30.452,12.86,171.7,1.89,1.48,7.78,NA,9.15,76.6,141.2,0.06,92,0.12255035383777899,39.71663,-93.32208,208.9,989.4666666666667
192,2026-07-08,2026-07-08T15:22:28Z,1.34,1.34,30.385,12.5,166.6,1.99,1.54,8,NA,9.07,77.3,141.3,0.06,92,0.1290827436037017,39.71663,-93.32208,209,989.4666666666667
192,2026-07-08,2026-07-08T15:22:29Z,1.395,1.395,30.287,12.26,163.2,2.04,1.65,8.44,NA,9.03,78.1,141.6,0.07,92,0.13445835601524225,39.71663,-93.32208,209.1,989.4666666666667
192,2026-07-08,2026-07-08T15:22:30Z,1.423,1.423,30.179,12.09,160.6,2.05,1.69,8.56,NA,8.99,79,141.8,0.07,92,0.13711213935764835,39.71663,-93.32208,209.2,989.4666666666667
