MULakeNumber,date,dateTime,depth_m,verticalPosition_m,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU,turbidity_FNU,pH,orp_mV,specificConductivity_uSpcm,salinity_psu,tds_mgpL,waterPressure_barA,latitude,longitude,altitude_m,barometerAirHandheld_mbars
098,2024-06-27,2024-06-27T07:07:18Z,0.14566666666666667,0.15066666666666667,29.286666666666665,8.293333333333333,108.43333333333334,0.7,0.20333333333333334,NA,8.053333333333335,251.33333333333334,217.36666666666667,0.1,141,0.014062783523861368,36.60706,-93.31222666666666,280.8,981.4666666666667
098,2024-06-27,2024-06-27T07:07:21Z,0.19566666666666668,0.208,29.312333333333335,8.29,108.4,0.74,0.18333333333333332,NA,8.08,250.8,217.03333333333333,0.1,141,0.01889403012157503,36.607056666666665,-93.31223,280.6,981.5111111111112
098,2024-06-27,2024-06-27T07:07:24Z,0.254,0.262,29.331,8.29,108.43333333333334,0.7166666666666667,0.1,NA,8.11,250.23333333333332,216.76666666666668,0.1,141,0.02447377971330067,36.60705,-93.31223,280.9,981.4666666666667
098,2024-06-27,2024-06-27T07:07:27Z,0.32266666666666666,0.332,29.344666666666665,8.29,108.46666666666667,0.72,0.16333333333333333,NA,8.14,249.76666666666668,216.86666666666667,0.1,141,0.03109689711486119,36.60705,-93.31223,281.03333333333336,981.4666666666667
098,2024-06-27,2024-06-27T07:07:30Z,0.44133333333333336,0.4603333333333333,29.351000000000003,8.29,108.5,0.7166666666666667,0.18666666666666668,NA,8.163333333333334,249.26666666666668,217.36666666666667,0.1,141,0.04255126111413537,36.60705,-93.31223,281,981.4666666666667
098,2024-06-27,2024-06-27T07:07:33Z,0.5636666666666666,0.5746666666666667,29.363333333333333,8.29,108.53333333333333,0.7066666666666667,0.12666666666666668,NA,8.186666666666666,248.83333333333334,217.33333333333334,0.1,141,0.05434585374705135,36.60705,-93.31222333333334,280.40000000000003,981.4666666666667
098,2024-06-27,2024-06-27T07:07:36Z,0.691,0.71,29.37,8.28,108.36666666666667,0.7033333333333334,0.12333333333333334,NA,8.21,248.46666666666667,217.43333333333334,0.1,141,0.06657140264924696,36.60705,-93.31222,279.7,981.4666666666667
098,2024-06-27,2024-06-27T07:07:39Z,0.8246666666666667,0.8403333333333334,29.367,8.26,108.2,0.7366666666666667,0.16,NA,8.23,248,217.4,0.1,141,0.07945472690981674,36.60705,-93.31222,279.53333333333336,981.4666666666667
098,2024-06-27,2024-06-27T07:07:42Z,0.87,0.8736666666666667,29.361666666666668,8.266666666666666,108.16666666666667,0.7733333333333333,0.17333333333333334,NA,8.243333333333334,247.6,217.63333333333333,0.1,141,0.08387769914716023,36.60705,-93.31221333333333,279.46666666666664,981.4666666666667
098,2024-06-27,2024-06-27T07:07:45Z,0.9823333333333334,1.0006666666666666,29.373666666666665,8.27,108.3,0.77,0.05666666666666667,NA,8.263333333333334,247.16666666666666,217.66666666666666,0.1,141,0.0946516058791508,36.60705,-93.31221,279.56666666666666,981.4666666666667
