MULakeNumber,date,dateTime,depth_m,verticalPosition_m,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU,turbidity_FNU,pH,orp_mV,specificConductivity_uSpcm,salinity_psu,tds_mgpL,waterPressure_barA,latitude,longitude,altitude_m,barometerAirHandheld_mbars
120,2024-06-21,2024-06-21T11:42:39Z,0.008499999999999999,0.0285,28.1265,7.71,98.65,1.155,2.1100000000000003,NA,7.7749999999999995,224.10000000000002,183.75,0.085,119,7.825258573761568e-4,38.81383,-94.35293,278.2,988.2
120,2024-06-21,2024-06-21T11:42:45Z,0.08966666666666667,0.08466666666666667,28.669666666666668,8.4,108.7,0.9166666666666666,0.6,NA,8.24,185.2,378.3666666666667,0.18,246,0.00866448920341136,38.81382666666667,-94.35293,277.9,988.2666666666667
120,2024-06-21,2024-06-21T11:43:03Z,0.089,0.094,28.666,9.153333333333334,118.43333333333334,1.0166666666666666,0.7,NA,8.416666666666666,185.4,378.4,0.18,246,0.008596443476682997,38.81383,-94.35291,277.9,988.2222222222222
120,2024-06-21,2024-06-21T11:43:06Z,0.11866666666666667,0.13266666666666665,28.664333333333335,9.18,118.8,1.0133333333333334,0.6666666666666666,NA,8.426666666666666,185.53333333333333,378.46666666666664,0.18,246,0.01145436399927418,38.81383,-94.35291,277.7,988.3555555555556
120,2024-06-21,2024-06-21T11:43:09Z,0.24466666666666667,0.2543333333333333,28.66166666666667,9.21,119.1,0.9933333333333333,0.64,NA,8.436666666666666,185.8,378.73333333333335,0.18,246,0.023611867174741428,38.81382666666667,-94.35291,277.6333333333333,988.2666666666668
120,2024-06-21,2024-06-21T11:43:12Z,0.3596666666666667,0.37733333333333335,28.658666666666665,9.23,119.43333333333334,1.0033333333333334,0.6766666666666666,NA,8.44,186.13333333333333,378.7,0.18,246,0.03463527490473598,38.81383,-94.35291,277.6333333333333,988.2222222222222
120,2024-06-21,2024-06-21T11:43:15Z,0.49533333333333335,0.5146666666666667,28.653333333333332,9.246666666666666,119.56666666666666,1.03,0.65,NA,8.446666666666665,186.4,378.5,0.18,246,0.04774541825440029,38.81382666666667,-94.35291,277.73333333333335,988.1333333333333
120,2024-06-21,2024-06-21T11:43:18Z,0.564,0.57,28.652,9.256666666666666,119.73333333333333,1.07,0.6566666666666667,NA,8.45,186.66666666666666,378.43333333333334,0.18,246,0.05434585374705136,38.81382,-94.35291,277.2,988.3111111111111
120,2024-06-21,2024-06-21T11:43:21Z,0.6236666666666667,0.637,28.647,9.266666666666666,119.86666666666667,1.0866666666666667,0.6833333333333333,NA,8.46,186.83333333333334,378.46666666666664,0.18,246,0.060107058610052624,38.81382,-94.35291,276.9666666666667,988.3111111111111
120,2024-06-21,2024-06-21T11:43:24Z,0.7116666666666667,0.7273333333333333,28.642,9.28,120.03333333333333,1.1233333333333333,0.6733333333333333,NA,8.46,187.03333333333333,378.6333333333333,0.18,246,0.0686127744510978,38.81382,-94.35291,276.9,988.3111111111111
120,2024-06-21,2024-06-21T11:43:27Z,0.827,0.8376666666666667,28.614333333333335,9.29,120.1,1.2366666666666666,0.7133333333333334,NA,8.463333333333335,187.23333333333332,378.6,0.18,246,0.07972690981673018,38.81383,-94.35291,277.06666666666666,988.2222222222223
120,2024-06-21,2024-06-21T11:43:30Z,0.9823333333333333,0.9953333333333333,28.567333333333334,9.293333333333333,120.1,1.2266666666666666,0.7166666666666667,NA,8.47,187.5,378.5,0.18,246,0.09467428778806024,38.81383,-94.35291,277,988.3555555555556
120,2024-06-21,2024-06-21T11:43:33Z,1.0566666666666666,1.07,28.525,9.306666666666667,120.1,1.23,0.6666666666666667,NA,8.47,187.63333333333333,378.76666666666665,0.18,246,0.1018644529123571,38.81383,-94.35291333333333,277.1333333333333,988.3111111111111
