MULakeNumber,date,dateTime,depth_m,verticalPosition_m,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU,turbidity_FNU,pH,orp_mV,specificConductivity_uSpcm,salinity_psu,tds_mgpL,waterPressure_barA,latitude,longitude,altitude_m,barometerAirHandheld_mbars
115,2024-08-12,2024-08-12T09:34:51Z,0.038,0.0445,25.5365,5.81,71.05,1.7,1.2850000000000001,NA,7.23,277.05,160.25,0.07,104,0.0036744692433315186,39.70771,-91.86298,202.7,993.6
115,2024-08-12,2024-08-12T09:34:57Z,0.06766666666666667,0.07266666666666667,25.544333333333334,5.81,71.1,1.75,1.1,NA,7.25,276.3666666666667,159.96666666666667,0.07,104,0.006532389765922701,39.70771,-91.86298,202.23333333333332,993.6444444444444
115,2024-08-12,2024-08-12T09:35:00Z,0.115,0.13266666666666665,25.546333333333333,5.806666666666667,71,1.75,1.0833333333333335,NA,7.26,276.03333333333336,159.96666666666667,0.07,104,0.011091453456722918,39.70771,-91.86298,202.13333333333333,993.6
115,2024-08-12,2024-08-12T09:35:03Z,0.2776666666666667,0.302,25.558,5.786666666666667,70.8,1.6866666666666665,1.1366666666666667,NA,7.263333333333333,275.96666666666664,159.96666666666667,0.07,104,0.026764652513155508,39.70771,-91.86298,201.86666666666667,993.6
115,2024-08-12,2024-08-12T09:35:06Z,0.4663333333333333,0.47833333333333333,25.574,5.766666666666667,70.56666666666666,1.69,1.23,NA,7.27,275.8,160.13333333333333,0.07,104,0.04500090727635638,39.70771,-91.86298,201.9,993.6
115,2024-08-12,2024-08-12T09:35:09Z,0.555,0.5606666666666666,25.578333333333333,5.753333333333333,70.36666666666667,1.75,1.2166666666666666,NA,7.28,275.6333333333333,160.16666666666666,0.07,104,0.053506623117401564,39.70771333333333,-91.86298,202.36666666666667,993.6
115,2024-08-12,2024-08-12T09:35:12Z,0.6233333333333333,0.6366666666666667,25.578666666666667,5.736666666666667,70.2,1.7066666666666666,1.09,NA,7.283333333333333,275.5,160.2,0.07,104,0.06015242242787153,39.70772,-91.86298,202.2,993.6
115,2024-08-12,2024-08-12T09:35:15Z,0.7123333333333334,0.7256666666666667,25.578666666666667,5.72,70,1.7466666666666666,1.05,NA,7.29,275.4,160.16666666666666,0.07,104,0.06872618399564508,39.70772,-91.86298333333333,202,993.6
115,2024-08-12,2024-08-12T09:35:18Z,0.8076666666666666,0.8196666666666667,25.58,5.713333333333333,69.86666666666667,1.7733333333333334,1.25,NA,7.293333333333333,275.2,160.06666666666666,0.07,104,0.07791235710397387,39.70772,-91.86298,202.23333333333332,993.6444444444444
115,2024-08-12,2024-08-12T09:35:21Z,0.882,0.8926666666666667,25.579,5.706666666666667,69.8,1.8333333333333333,1.2666666666666666,NA,7.3,274.96666666666664,160.06666666666666,0.07,104,0.08510252222827074,39.70772,-91.86298,202.5,993.6
115,2024-08-12,2024-08-12T09:35:24Z,0.9586666666666667,0.971,25.579666666666665,5.696666666666667,69.7,1.8866666666666667,1.12,NA,7.306666666666667,274.8333333333333,160.03333333333333,0.07,104,0.09249682453275268,39.70771666666667,-91.86298,203.1,993.6444444444444
115,2024-08-12,2024-08-12T09:35:27Z,1.061,1.07,25.579666666666665,5.693333333333333,69.7,1.99,1.0866666666666667,NA,7.31,274.7,160,0.07,104,0.10234077299945564,39.70771,-91.86298,203.4,993.6
115,2024-08-12,2024-08-12T09:35:30Z,1.1393333333333333,1.1526666666666665,25.579,5.69,69.6,1.9733333333333332,1.22,NA,7.316666666666666,274.56666666666666,160.13333333333333,0.07,104,0.10991653057521321,39.70771,-91.86298,203.66666666666666,993.6
115,2024-08-12,2024-08-12T09:35:33Z,1.2363333333333333,1.2523333333333333,25.579666666666665,5.683333333333334,69.53333333333333,1.9166666666666667,1.1633333333333333,NA,7.32,274.43333333333334,160.03333333333333,0.07,104,0.11928415895481764,39.70771,-91.86298,203.6,993.6444444444444
115,2024-08-12,2024-08-12T09:35:36Z,1.3373333333333333,1.3486666666666667,25.581,5.673333333333333,69.43333333333334,1.8666666666666667,1.1733333333333333,NA,7.32,274.3,160.1,0.07,104,0.12903737978588278,39.70771,-91.86298,203.8,993.6
