KorEXO MEASUREMENT DATA FILE EXPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FILE CREATED:,10/13/2023 21:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MEAN VALUE:,1.62,6.38,118,2.642,167.8,83.6,83.6,9.4,151.4,3.756,0.08,164.8,1.19,1.03,107,773.05,0,NA,-28.2,10.136,2.814,38.90124,-92.34196,219.7,0,12.1,752
,,,STANDARD DEVIATION:,2.01,8,0.1,1.44,0.1,1.8,1.8,0.2,16.2,2.048,0,0.1,1.11,1.07,0,2290.42,0,0.05,3.1,0.012,1.381,0.00001,0.00001,1.5,0,0,0.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SENSOR SERIAL NUMBER:,17F103116,17F103116,17C104840,18F101461,17C104840,18D104462,18D104462,18D104462,18E103391,18F101461,17C104840,17C104840,17F103116,17F103116,17C104840,18E100546,18E100546,18E103391,18E103391,17C104840,18F101461,17F105819,17F105819,17F105819,17F105819,17F105819,17F105819
Date (MM/DD/YYYY),Time (HH:mm:ss),Time (Fract. Sec),Site Name,Chlorophyll RFU,Chlorophyll ug/L,Cond µS/cm,Depth m,nLF Cond µS/cm,ODO % sat,ODO % local,ODO mg/L,ORP mV,Pressure psi a,Sal psu,SpCond µS/cm,BGA PC RFU,BGA PC ug/L,TDS mg/L,Turbidity FNU,TSS mg/L,pH,pH mV,Temp °C,Vertical Position m,GPS Latitude °,GPS Longitude °,Altitude m,Battery V,Cable Pwr V,Barometer mmHg
11/18/2021,14:45:03,0,beth,0.59,2.29,117.5,0.1,167.1,88.2,88.2,9.92,158.2,0.142,0.08,164.2,0.56,0.43,107,-9.62,0,7.31,-35.1,10.119,0.092,38.90124,-92.34196,216.9,0,12.1,752
11/18/2021,14:45:04,0,beth,0.59,2.29,117.8,0.1,167.5,88,88,9.9,158.2,0.142,0.08,164.5,0.56,0.43,107,-9.62,0,7.31,-34.9,10.123,0.102,38.90124,-92.34196,216.8,0,12.1,752
11/18/2021,14:45:05,0,beth,0.6,2.32,117.9,0.101,167.6,87.9,87.9,9.89,158.2,0.143,0.08,164.7,0.57,0.43,107,-9.59,0,7.31,-34.7,10.124,0.118,38.90124,-92.34196,216.7,0,12.1,752
11/18/2021,14:45:06,0,beth,0.61,2.36,117.9,0.102,167.6,87.7,87.7,9.87,158.2,0.145,0.08,164.7,0.56,0.43,107,-9.6,0,7.3,-34.6,10.125,0.184,38.90123,-92.34196,216.7,0,12.1,752
11/18/2021,14:45:07,0,beth,0.61,2.37,117.9,0.106,167.7,87.6,87.6,9.85,158.2,0.151,0.08,164.7,0.57,0.43,107,-9.6,0,7.3,-34.4,10.125,0.269,38.90123,-92.34196,216.7,0,12.1,752
11/18/2021,14:45:08,0,beth,0.61,2.36,118,0.112,167.7,87.4,87.4,9.84,158.2,0.159,0.08,164.8,0.57,0.44,107,-9.6,0,7.3,-34.3,10.126,0.349,38.90123,-92.34196,216.6,0,12.1,752
11/18/2021,14:45:09,0,beth,0.61,2.38,118,0.122,167.7,87.3,87.3,9.82,158.2,0.173,0.08,164.8,0.58,0.44,107,-9.61,0,7.29,-34,10.127,0.461,38.90123,-92.34196,216.5,0,12.1,752
11/18/2021,14:45:10,0,beth,0.63,2.45,118,0.133,167.7,87,87,9.78,158.2,0.189,0.08,164.8,0.59,0.45,107,-9.61,0,7.29,-33.7,10.127,0.566,38.90123,-92.34196,217.1,0,12.1,752
11/18/2021,14:45:11,0,beth,0.65,2.52,118,0.147,167.7,86.7,86.7,9.75,158.3,0.209,0.08,164.8,0.59,0.45,107,-9.61,0,7.28,-33.3,10.129,0.694,38.90123,-92.34196,217.6,0,12.1,752
11/18/2021,14:45:12,0,beth,0.66,2.58,118,0.164,167.7,86.4,86.4,9.72,158.3,0.233,0.08,164.8,0.59,0.45,107,-9.6,0,7.28,-33,10.13,0.779,38.90123,-92.34196,218.2,0,12.1,752
11/18/2021,14:45:13,0,beth,0.68,2.65,118,0.186,167.7,86.2,86.2,9.69,158.3,0.265,0.08,164.8,0.59,0.45,107,-9.6,0,7.27,-32.7,10.132,0.834,38.90123,-92.34196,218.5,0,12.1,752
11/18/2021,14:45:14,0,beth,0.7,2.73,118,0.974,167.7,86,86,9.67,158.4,1.384,0.08,164.8,0.59,0.45,107,-9.61,0,7.27,-32.4,10.139,0.918,38.90123,-92.34196,218.8,0,12.1,752
11/18/2021,14:45:15,0,beth,0.73,2.85,118,1.107,167.7,85.8,85.8,9.65,158.4,1.574,0.08,164.8,0.6,0.46,107,-10.9,0,7.26,-32.2,10.141,1.046,38.90123,-92.34196,218.9,0,12.1,752
11/18/2021,14:45:16,0,beth,0.77,3.02,118,1.157,167.7,85.6,85.6,9.63,158.4,1.645,0.08,164.8,0.61,0.47,107,-10.91,0,7.26,-31.9,10.143,1.129,38.90123,-92.34196,219,0,12.1,752
11/18/2021,14:45:17,0,beth,0.82,3.2,118,1.211,167.7,85.4,85.4,9.6,158.5,1.722,0.08,164.8,0.62,0.48,107,-10.9,0,7.25,-31.6,10.144,1.216,38.90123,-92.34196,219.2,0,12.1,752
11/18/2021,14:45:18,0,beth,0.87,3.4,118.1,1.25,167.7,85.2,85.2,9.59,158.5,1.778,0.08,164.8,0.63,0.49,107,-10.9,0,7.25,-31.4,10.146,1.278,38.90123,-92.34196,219.4,0,12.1,752
11/18/2021,14:45:19,0,beth,0.92,3.61,118.1,1.288,167.7,85.1,85.1,9.57,158.5,1.831,0.08,164.8,0.62,0.48,107,-10.9,0,7.24,-31.2,10.147,1.352,38.90123,-92.34196,219.5,0,12.1,752
11/18/2021,14:45:20,0,beth,0.96,3.78,118.1,1.331,167.7,84.9,84.9,9.55,158.5,1.893,0.08,164.8,0.62,0.48,107,-10.93,0,7.24,-31,10.148,1.436,38.90123,-92.34196,219.7,0,12.1,752
11/18/2021,14:45:21,0,beth,1,3.93,118.1,1.382,167.7,84.8,84.8,9.53,158.5,1.965,0.08,164.8,0.61,0.48,107,-10.92,0,7.24,-30.8,10.149,1.512,38.90123,-92.34196,220.1,0,12.1,752
11/18/2021,14:45:22,0,beth,1.04,4.09,118.1,1.414,167.7,84.7,84.7,9.52,158.5,2.011,0.08,164.8,0.61,0.47,107,-10.93,0,7.23,-30.6,10.15,1.552,38.90123,-92.34196,220.4,0,12.1,752
11/18/2021,14:45:23,0,beth,1.08,4.25,118.1,1.446,167.8,84.5,84.5,9.5,158.5,2.056,0.08,164.8,0.62,0.48,107,-10.91,0,7.23,-30.4,10.151,1.645,38.90123,-92.34196,219.7,0,12.1,752
11/18/2021,14:45:24,0,beth,1.11,4.36,118.1,1.484,167.7,84.4,84.4,9.49,158.6,2.11,0.08,164.8,0.62,0.49,107,-10.92,0,7.23,-30.2,10.151,1.733,38.90123,-92.34195,219.3,0,12.1,752
11/18/2021,14:45:25,0,beth,1.13,4.45,118.1,1.524,167.7,84.3,84.3,9.48,158.6,2.168,0.08,164.8,0.63,0.49,107,-10.92,0,7.22,-30.1,10.152,1.762,38.90123,-92.34195,219.1,0,12.1,752
11/18/2021,14:45:26,0,beth,1.15,4.52,118.1,1.554,167.7,84.2,84.2,9.46,158.6,2.21,0.08,164.8,0.64,0.5,107,-10.93,0,7.22,-29.9,10.153,1.813,38.90124,-92.34195,218.8,0,12.1,752.1
11/18/2021,14:45:27,0,beth,1.16,4.56,118.1,1.583,167.7,84.1,84.1,9.45,158.6,2.251,0.08,164.8,0.64,0.5,107,-10.92,0,7.22,-29.7,10.154,1.872,38.90124,-92.34195,218.6,0,12.1,752
11/18/2021,14:45:28,0,beth,1.18,4.62,118.1,1.614,167.7,84,84,9.44,158.6,2.295,0.08,164.8,0.63,0.5,107,-10.91,0,7.22,-29.6,10.154,1.96,38.90124,-92.34195,218.7,0,12.1,752
11/18/2021,14:45:29,0,beth,1.18,4.62,118.1,1.647,167.8,83.9,83.9,9.43,158.6,2.343,0.08,164.8,0.63,0.49,107,-10.92,0,7.21,-29.4,10.154,2.051,38.90124,-92.34195,218.6,0,12.1,751.9
11/18/2021,14:45:30,0,beth,1.18,4.65,118.1,1.69,167.8,83.8,83.8,9.42,158.6,2.404,0.08,164.8,0.62,0.48,107,-10.92,0,7.21,-29.3,10.155,2.145,38.90125,-92.34195,218.7,0,12.1,752
11/18/2021,14:45:31,0,beth,1.19,4.69,118.1,1.725,167.8,83.7,83.7,9.41,158.7,2.452,0.08,164.8,0.62,0.49,107,-10.92,0,7.21,-29.1,10.155,2.194,38.90125,-92.34195,218.7,0,12.1,752
11/18/2021,14:45:32,0,beth,1.2,4.73,118.1,1.758,167.8,83.7,83.7,9.4,158.7,2.499,0.08,164.8,0.63,0.49,107,-10.91,0,7.2,-29,10.154,2.265,38.90125,-92.34196,218.7,0,12.1,752
11/18/2021,14:45:33,0,beth,1.21,4.74,118.1,1.793,167.8,83.6,83.6,9.4,158.7,2.549,0.08,164.8,0.63,0.49,107,-10.91,0,7.2,-28.8,10.153,2.353,38.90125,-92.34196,218.5,0,12.1,752
11/18/2021,14:45:34,0,beth,1.21,4.76,118.1,1.834,167.8,83.5,83.5,9.39,158.7,2.607,0.08,164.9,0.63,0.49,107,-10.93,0,7.2,-28.7,10.153,2.398,38.90125,-92.34196,218.4,0,12.1,752
11/18/2021,14:45:35,0,beth,1.21,4.78,118.1,1.866,167.8,83.4,83.4,9.38,158.7,2.653,0.08,164.9,0.62,0.48,107,-10.95,0,7.2,-28.5,10.152,2.47,38.90125,-92.34196,218.2,0,12.1,752
11/18/2021,14:45:36,0,beth,1.22,4.78,118.1,2.634,167.8,83.4,83.4,9.37,158.7,3.745,0.08,164.9,0.62,0.48,107,-10.97,0,7.19,-28.4,10.151,2.584,38.90125,-92.34196,218,0,12.1,752
11/18/2021,14:45:37,0,beth,1.22,4.78,118.1,2.723,167.8,83.3,83.3,9.36,158.7,3.872,0.08,164.9,0.61,0.47,107,-10.95,0,7.19,-28.2,10.149,2.679,38.90125,-92.34196,217.9,0,12.1,752
11/18/2021,14:45:38,0,beth,1.21,4.77,118.1,2.802,167.8,83.2,83.2,9.36,158.7,3.984,0.08,164.9,0.61,0.47,107,-10.95,0,7.19,-28.1,10.148,2.769,38.90125,-92.34196,218.2,0,12.1,752
11/18/2021,14:45:39,0,beth,1.21,4.77,118.1,2.803,167.8,83.2,83.2,9.35,158.7,3.985,0.08,164.9,0.61,0.47,107,-10.93,0,7.19,-28,10.147,2.8,38.90126,-92.34197,218.4,0,12.1,752
11/18/2021,14:45:40,0,beth,1.22,4.81,118.1,2.836,167.8,83.1,83.1,9.35,158.7,4.032,0.08,164.9,0.61,0.47,107,-10.92,0,7.19,-27.9,10.146,2.912,38.90126,-92.34197,218.7,0,12.1,752
11/18/2021,14:45:41,0,beth,1.22,4.79,118.1,2.91,167.8,83.1,83.1,9.34,158.7,4.138,0.08,164.8,0.6,0.46,107,-10.92,0,7.18,-27.7,10.145,3,38.90126,-92.34197,218.6,0,12.1,752
11/18/2021,14:45:42,0,beth,1.21,4.77,118.1,2.975,167.8,83,83,9.34,158.7,4.23,0.08,164.8,0.59,0.45,107,-10.91,0,7.18,-27.6,10.144,3.069,38.90126,-92.34197,218.5,0,12.1,752
11/18/2021,14:45:43,0,beth,1.21,4.74,118.1,3.004,167.8,83,83,9.33,158.8,4.272,0.08,164.8,0.59,0.45,107,-10.93,0,7.18,-27.5,10.144,3.079,38.90126,-92.34197,218.9,0,12.1,752
11/18/2021,14:45:44,0,beth,1.2,4.72,118.1,3.023,167.8,82.9,82.9,9.32,158.7,4.299,0.08,164.8,0.58,0.44,107,-10.94,0,7.18,-27.4,10.143,3.106,38.90126,-92.34197,219.3,0,12.1,752
11/18/2021,14:45:45,0,beth,1.2,4.71,118.1,3.043,167.8,82.9,82.9,9.32,158.7,4.328,0.08,164.8,0.57,0.44,107,-10.94,0,7.17,-27.3,10.143,3.171,38.90126,-92.34197,219.6,0,12.1,752
