MULakeNumber,date,dateTime,depth_m,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU,phycoerythrinTAL_RFU,turbidity_FNU,salinity_psu,specificConductivity_uSpcm,tds_mgpL,orp_mV,pH,latitude,longitude,altitude_m,barometerAirHandheld_mbars
440,2025-09-12,2025-09-12T12:56:07Z,0.194,25.076,8.94,108.8,1.05,0.03,0.87,NA,0.04,89,58,155.9,8.36,38.89354,-91.73759,245.5,989.6
440,2025-09-12,2025-09-12T12:56:08Z,0.314,24.656,9.02,108.8,1.17,0.14,1.44,NA,0.04,89,58,157.6,8.36,38.89354,-91.73759,245.3,989.4666666666668
440,2025-09-12,2025-09-12T12:56:09Z,0.433,24.316,9.14,109.6,1.25,0.19,1.62,NA,0.04,89,58,159,8.35,38.89354,-91.73759,245.3,989.4666666666668
440,2025-09-12,2025-09-12T12:56:10Z,0.557,23.871,9.22,109.7,1.32,0.12,1.62,NA,0.04,89.1,58,160.5,8.34,38.89354,-91.73759,244.9,989.6
440,2025-09-12,2025-09-12T12:56:11Z,0.624,23.529,9.34,110.2,1.49,0.17,1.91,NA,0.04,89.2,58,162.2,8.33,38.89354,-91.73759,244.6,989.4666666666668
440,2025-09-12,2025-09-12T12:56:12Z,0.73,23.388,9.34,109.8,1.69,0.19,2.34,NA,0.04,89,58,163.1,8.32,38.89354,-91.73759,244.3,989.4666666666668
440,2025-09-12,2025-09-12T12:56:13Z,0.85,23.306,9.23,108.4,1.98,0.15,2.7,NA,0.04,88.7,58,163.9,8.32,38.89354,-91.73759,244,989.6
440,2025-09-12,2025-09-12T12:56:14Z,0.916,23.209,9.18,107.5,2.14,0.23,2.9,NA,0.04,88.7,58,164.9,8.31,38.89354,-91.73759,244,989.6
440,2025-09-12,2025-09-12T12:56:15Z,1.015,23.147,9.13,106.8,2.14,0.29,2.87,NA,0.04,88.7,58,165.6,8.31,38.89354,-91.73759,243.9,989.6
440,2025-09-12,2025-09-12T12:56:16Z,1.091,22.98,9.13,106.5,2.31,0.22,2.95,NA,0.04,88.8,58,166.4,8.3,38.89354,-91.73759,243.9,989.4666666666668
440,2025-09-12,2025-09-12T12:56:17Z,1.156,22.964,9.13,106.4,2.41,0.22,3.1,NA,0.04,88.7,58,167.2,8.3,38.89354,-91.73759,243.6,989.4666666666668
440,2025-09-12,2025-09-12T12:56:18Z,1.257,22.883,9.13,106.3,2.36,0.24,3.18,NA,0.04,88.4,57,168.1,8.29,38.89354,-91.73759,243.7,989.6
440,2025-09-12,2025-09-12T12:56:19Z,1.333,22.729,9.13,106.1,2.45,0.23,3.37,NA,0.04,88.5,58,169.1,8.29,38.89354,-91.73759,243.5,989.4666666666668
440,2025-09-12,2025-09-12T12:56:20Z,1.355,22.714,9.15,106.1,2.57,0.3,3.55,NA,0.04,88.5,58,170,8.28,38.89354,-91.73759,243.5,989.4666666666668
