MULakeNumber,date,dateTime,depth_m,verticalPosition_m,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU,phycoerythrinTAL_RFU,turbidity_FNU,pH,orp_mV,specificConductivity_uSpcm,salinity_psu,tds_mgpL,waterPressure_barA,latitude,longitude,altitude_m,barometerAirHandheld_mbars
219,2019-10-25,2019-10-25T11:10:33Z,0.305,0.305,12.023,10.93,101.5,1.395,5.459,NA,20.67,12.95,467.9,129.2,NA,NA,NA,NA,NA,NA,1003.4666666666667
219,2019-10-25,2019-10-25T11:10:36Z,0.356,0.356,12.021,10.89,101.1,1.667,6.294,NA,22.58,12.95,465.9,128.9,NA,NA,NA,NA,NA,NA,1003.3333333333334
219,2019-10-25,2019-10-25T11:10:37Z,0.439,0.439,12.024,10.88,101,1.787,6.305,NA,20.17,12.96,465,128.8,NA,NA,NA,NA,NA,NA,1003.4666666666667
219,2019-10-25,2019-10-25T11:10:38Z,0.521,0.521,12.025,10.88,101.1,1.79,6.338,NA,19.04,12.96,464.3,128.8,NA,NA,NA,NA,NA,NA,1003.3333333333334
219,2019-10-25,2019-10-25T11:10:39Z,0.612,0.612,12.027,10.88,101.1,1.728,6.425,NA,19.88,12.97,463.6,128.8,NA,NA,NA,NA,NA,NA,1003.3333333333334
219,2019-10-25,2019-10-25T11:10:40Z,0.736,0.736,12.026,10.88,101.1,1.752,6.306,NA,19.97,12.97,462.8,128.8,NA,NA,NA,NA,NA,NA,1003.3333333333334
219,2019-10-25,2019-10-25T11:10:49Z,0.794,0.794,12.019,10.8,100.3,1.637,6.1,NA,21.89,13.02,454.3,128.7,NA,NA,NA,NA,NA,NA,1003.4666666666667
219,2019-10-25,2019-10-25T11:10:43Z,0.817,0.817,12.014,10.85,100.8,1.873,6.43,NA,19.61,12.99,460.1,128.7,NA,NA,NA,NA,NA,NA,1003.3333333333334
219,2019-10-25,2019-10-25T11:10:50Z,0.931,0.931,12.02,10.78,100.1,1.875,6.241,NA,20.31,13.02,453.2,128.7,NA,NA,NA,NA,NA,NA,1003.4666666666667
219,2019-10-25,2019-10-25T11:10:51Z,1.059,1.059,12.024,10.77,100,1.87,6.273,NA,18.97,13.03,452.2,128.8,NA,NA,NA,NA,NA,NA,1003.4666666666667
219,2019-10-25,2019-10-25T11:10:52Z,1.09,1.09,12.025,10.76,100,1.794,6.298,NA,20.24,13.04,451.2,128.7,NA,NA,NA,NA,NA,NA,1003.4666666666667
219,2019-10-25,2019-10-25T11:10:53Z,1.114,1.114,12.025,10.76,99.9,1.824,6.261,NA,32.08,13.04,450.3,128.7,NA,NA,NA,NA,NA,NA,1003.4666666666667
219,2019-10-25,2019-10-25T11:10:54Z,1.139,1.139,12.022,10.76,99.9,1.902,6.251,NA,21.67,13.05,449.3,128.7,NA,NA,NA,NA,NA,NA,1003.4666666666667
219,2019-10-25,2019-10-25T11:10:55Z,1.245,1.245,12.019,10.76,99.9,1.868,6.09,NA,18.85,13.06,448.4,128.7,NA,NA,NA,NA,NA,NA,1003.4666666666667
219,2019-10-25,2019-10-25T11:10:56Z,1.307,1.307,12.018,10.75,99.9,1.803,6.072,NA,21.93,13.06,447.1,128.7,NA,NA,NA,NA,NA,NA,1003.4666666666667
219,2019-10-25,2019-10-25T11:11:10Z,1.389,1.389,12.008,10.69,99.3,1.922,6.104,NA,23.36,13.15,432.9,128.7,NA,NA,NA,NA,NA,NA,1003.4666666666667
219,2019-10-25,2019-10-25T11:11:11Z,1.618,1.618,12.004,10.66,99,1.931,6.174,NA,18.92,13.15,432.1,128.7,NA,NA,NA,NA,NA,NA,1003.4666666666667
219,2019-10-25,2019-10-25T11:11:12Z,1.691,1.691,12.002,10.65,98.9,1.85,6.167,NA,19.73,13.16,431,128.7,NA,NA,NA,NA,NA,NA,1003.4666666666667
219,2019-10-25,2019-10-25T11:11:13Z,1.754,1.754,12,10.65,98.9,1.72,5.974,NA,20.45,13.16,429.9,128.7,NA,NA,NA,NA,NA,NA,1003.4666666666667
219,2019-10-25,2019-10-25T11:11:15Z,1.798,1.798,11.995,10.64,98.8,1.877,6.032,NA,20.61,13.18,428.2,128.7,NA,NA,NA,NA,NA,NA,1003.4666666666667
219,2019-10-25,2019-10-25T11:11:32Z,1.867,1.867,11.995,10.6,98.4,2.228,5.879,NA,26.31,13.24,414.7,128.6,NA,NA,NA,NA,NA,NA,1003.4666666666667
219,2019-10-25,2019-10-25T11:11:34Z,1.98,1.98,11.999,10.59,98.3,1.763,6.013,NA,20.88,13.24,413.4,128.7,NA,NA,NA,NA,NA,NA,1003.3333333333334
219,2019-10-25,2019-10-25T11:11:35Z,2.092,2.092,12,10.58,98.2,1.809,5.888,NA,20.72,13.25,412.8,128.7,NA,NA,NA,NA,NA,NA,1003.4666666666667
219,2019-10-25,2019-10-25T11:11:36Z,2.25,2.25,12,10.56,98,1.676,5.698,NA,20.06,13.25,412.1,128.7,NA,NA,NA,NA,NA,NA,1003.4666666666667
219,2019-10-25,2019-10-25T11:11:37Z,2.277,2.277,12,10.55,97.9,1.713,5.781,NA,20.11,13.25,411.5,128.7,NA,NA,NA,NA,NA,NA,1003.3333333333334
219,2019-10-25,2019-10-25T11:11:40Z,2.332,2.332,11.998,10.53,97.8,1.814,5.793,NA,21.06,13.26,409.6,128.8,NA,NA,NA,NA,NA,NA,1003.4666666666667
219,2019-10-25,2019-10-25T11:11:41Z,2.356,2.356,11.997,10.53,97.8,1.872,5.74,NA,21.49,13.26,409,128.8,NA,NA,NA,NA,NA,NA,1003.4666666666667
219,2019-10-25,2019-10-25T11:11:54Z,2.408,2.408,11.973,10.54,97.8,1.952,5.825,NA,21.96,13.28,401.9,128.7,NA,NA,NA,NA,NA,NA,1003.4666666666667
219,2019-10-25,2019-10-25T11:11:55Z,2.436,2.436,11.969,10.54,97.8,1.902,5.834,NA,20.72,13.28,401.5,128.7,NA,NA,NA,NA,NA,NA,1003.4666666666667
