MULakeNumber,date_yyyy-mm-dd,time_hhmmss,depth_m,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU,phycoerythrinTAL_RFU,turbidity_FNU,salinity_psu,specificConductivity_uSpcm,tds_mgpL,orp_mV,pH,latitude,longitude,altitude_m,barometerAirHandheld_mbars
219,2024-10-02,11:44:39,0.062,20.616,8.45,94.2,5.7,3.57,15.62,NA,0.08,176.7,115,288.8,7.57,38.9941,-92.48887,238,990.6666666666666
219,2024-10-02,11:44:36,0.087,20.61,8.45,94.1,6,3.69,14.6,NA,0.08,176.7,115,288.9,7.57,38.9941,-92.48887,238.2,990.6666666666666
219,2024-10-02,11:44:40,0.091,20.618,8.46,94.2,5.64,3.52,15.01,NA,0.08,176.8,115,288.8,7.57,38.9941,-92.48886,237.9,990.6666666666666
219,2024-10-02,11:44:44,0.141,20.619,8.46,94.2,5.84,3.69,16.09,NA,0.08,176.6,115,288.7,7.58,38.99409,-92.48886,237.7,990.8
219,2024-10-02,11:44:47,0.204,20.608,8.46,94.2,6.71,4,18.22,NA,0.08,176.6,115,288.6,7.58,38.9941,-92.48885,237.6,990.6666666666666
219,2024-10-02,11:44:48,0.224,20.602,8.46,94.2,6.93,3.97,18.92,NA,0.08,176.6,115,288.6,7.58,38.99409,-92.48885,237.5,990.6666666666666
219,2024-10-02,11:44:51,0.286,20.607,8.45,94.1,7.63,4.4,21.93,NA,0.08,176.6,115,288.6,7.59,38.9941,-92.48885,237.6,990.6666666666666
219,2024-10-02,11:44:52,0.338,20.582,8.45,94,7.56,4.23,22.03,NA,0.08,176.8,115,288.6,7.59,38.9941,-92.48885,237.8,990.6666666666666
219,2024-10-02,11:44:55,0.404,20.547,8.46,94.1,7.97,4.39,22.61,NA,0.08,176.8,115,288.6,7.59,38.99411,-92.48885,238,990.6666666666666
219,2024-10-02,11:44:56,0.441,20.52,8.45,94,8.28,4.48,21.74,NA,0.08,176.9,115,288.6,7.59,38.99411,-92.48885,238.1,990.6666666666666
219,2024-10-02,11:44:58,0.492,20.469,8.44,93.8,7.65,4.28,21.42,NA,0.08,177.2,115,288.7,7.59,38.99411,-92.48885,237.8,990.6666666666666
219,2024-10-02,11:44:59,0.532,20.411,8.45,93.8,7.51,4.17,20.85,NA,0.08,177.1,115,288.7,7.59,38.99411,-92.48885,237.7,990.6666666666666
219,2024-10-02,11:45:00,0.566,20.395,8.45,93.7,7.41,4.05,20.68,NA,0.08,177,115,288.7,7.59,38.99411,-92.48885,237.7,990.6666666666666
219,2024-10-02,11:45:01,0.609,20.37,8.42,93.4,7.22,4.02,19.08,NA,0.08,177,115,288.7,7.59,38.99411,-92.48885,237.7,990.6666666666666
219,2024-10-02,11:45:02,0.669,20.328,8.41,93.1,6.96,4.01,18.02,NA,0.08,177.1,115,288.7,7.59,38.99411,-92.48885,237.6,990.6666666666666
219,2024-10-02,11:45:03,0.706,20.319,8.37,92.8,7.1,4.05,18.2,NA,0.08,176.9,115,288.6,7.59,38.99411,-92.48885,237.2,990.6666666666666
219,2024-10-02,11:45:04,0.751,20.303,8.34,92.3,7.19,4.05,17.28,NA,0.08,177,115,288.6,7.6,38.99411,-92.48885,237.5,990.6666666666666
219,2024-10-02,11:45:06,0.792,20.333,8.25,91.4,6.68,3.88,17.18,NA,0.08,176.9,115,288.6,7.6,38.99411,-92.48885,237.8,990.6666666666666
219,2024-10-02,11:45:07,0.821,20.335,8.22,91.1,6.56,3.81,18.21,NA,0.08,176.6,115,288.6,7.6,38.99411,-92.48885,237.9,990.6666666666666
219,2024-10-02,11:45:09,0.858,20.299,8.15,90.2,6.77,3.78,16.01,NA,0.08,176.6,115,288.5,7.6,38.99411,-92.48885,238,990.6666666666666
219,2024-10-02,11:45:10,0.907,20.294,8.11,89.8,6.91,3.77,15.74,NA,0.08,176.7,115,288.5,7.6,38.99411,-92.48885,238.1,990.6666666666666
219,2024-10-02,11:45:11,0.938,20.286,8.09,89.5,6.82,3.67,15.2,NA,0.08,176.9,115,288.5,7.6,38.99411,-92.48885,238.3,990.6666666666666
219,2024-10-02,11:45:13,0.966,20.275,8.04,88.9,6.27,3.53,14.4,NA,0.08,177,115,288.4,7.59,38.99412,-92.48885,238.7,990.8
219,2024-10-02,11:45:14,1.023,20.256,8.02,88.7,6.09,3.44,14.6,NA,0.08,176.9,115,288.5,7.59,38.99412,-92.48885,238.9,990.6666666666666
219,2024-10-02,11:45:15,1.051,20.243,7.98,88.2,5.8,3.4,13.97,NA,0.08,177,115,288.5,7.59,38.99412,-92.48885,239.1,990.6666666666666
219,2024-10-02,11:45:16,1.083,20.239,7.96,88,5.73,3.32,14.31,NA,0.08,177.1,115,288.5,7.59,38.99412,-92.48885,239.1,990.8
219,2024-10-02,11:45:17,1.118,20.236,7.92,87.6,5.8,3.31,14.68,NA,0.08,177.2,115,288.5,7.59,38.99412,-92.48885,239.2,990.6666666666666
219,2024-10-02,11:45:18,1.175,20.228,7.87,87,5.72,3.32,14.44,NA,0.08,177.2,115,288.5,7.59,38.99412,-92.48885,239.2,990.6666666666666
219,2024-10-02,11:45:19,1.217,20.22,7.82,86.4,5.78,3.24,14.31,NA,0.08,177.3,115,288.5,7.59,38.99412,-92.48885,239.2,990.6666666666666
219,2024-10-02,11:45:21,1.282,20.213,7.71,85.2,5.54,3.29,14.24,NA,0.08,177.4,115,288.4,7.59,38.99412,-92.48885,239.3,990.6666666666666
219,2024-10-02,11:45:22,1.354,20.198,7.67,84.8,5.69,3.38,14.5,NA,0.08,177.3,115,288.4,7.59,38.99412,-92.48885,239.2,990.6666666666666
219,2024-10-02,11:45:23,1.393,20.194,7.63,84.2,5.77,3.31,14.01,NA,0.08,177.3,115,288.4,7.59,38.99413,-92.48885,239,990.6666666666666
219,2024-10-02,11:45:25,1.412,20.197,7.55,83.4,5.16,3.01,14.78,NA,0.08,177.3,115,288.4,7.59,38.99412,-92.48886,238.6,990.6666666666666
219,2024-10-02,11:45:26,1.474,20.191,7.51,83,5.19,3.02,13.33,NA,0.08,177.3,115,288.4,7.58,38.99412,-92.48886,238.3,990.6666666666666
219,2024-10-02,11:45:29,1.56,20.172,7.39,81.6,5.6,3.01,10.02,NA,0.08,177.1,115,288.4,7.58,38.99412,-92.48886,238.1,990.6666666666666
219,2024-10-02,11:45:30,1.626,20.163,7.35,81.1,5.37,2.85,10.61,NA,0.08,177.1,115,288.4,7.58,38.99412,-92.48886,238.1,990.6666666666666
219,2024-10-02,11:45:33,1.692,20.155,7.21,79.5,4.95,2.71,10.95,NA,0.08,177.4,115,288.3,7.58,38.99412,-92.48886,238.3,990.6666666666666
219,2024-10-02,11:45:34,1.739,20.12,7.15,78.9,4.77,2.65,10.49,NA,0.08,177.4,115,288.3,7.58,38.99412,-92.48886,238.3,990.6666666666666
219,2024-10-02,11:45:35,1.762,20.098,7.11,78.4,4.52,2.66,10.85,NA,0.08,177.5,115,288.4,7.58,38.99412,-92.48886,238.3,990.6666666666666
