MULakeNumber,date_yyyy-mm-dd,time_hhmmss,depth_m,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU,phycoerythrinTAL_RFU,turbidity_FNU,salinity_psu,specificConductivity_uSpcm,tds_mgpL,orp_mV,pH,latitude,longitude,altitude_m,barometerAirHandheld_mbars
219,2026-01-13,12:44:06,0.007,5.3515,11.975,94.7,2.855,0.345,5.72,NA,0.09,198.4,129,166.7,7.91,38.99419,-92.48874,234.65,981.7333333333332
219,2026-01-13,12:44:09,0.06366666666666666,5.294,12.026666666666667,94.96666666666668,3.09,0.41666666666666663,6.18,NA,0.09,197.8,128.66666666666666,166.3,7.933333333333334,38.99419,-92.48874,234.53333333333333,981.6
219,2026-01-13,12:44:12,0.151,5.2700000000000005,12.096666666666666,95.4,2.92,0.4066666666666667,5.866666666666667,NA,0.09,197.16666666666663,128,166.83333333333334,7.96,38.99418666666667,-92.48874,234.6,981.6
219,2026-01-13,12:44:15,0.20966666666666667,5.251333333333333,12.136666666666668,95.7,2.953333333333333,0.3933333333333333,5.88,NA,0.09,197.13333333333333,128,166.73333333333332,7.983333333333333,38.99418,-92.48874,234.63333333333333,981.5555555555557
219,2026-01-13,12:44:18,0.257,5.242333333333334,12.17,95.96666666666668,2.9033333333333333,0.45,5.776666666666666,NA,0.09,196.9,128,166.76666666666665,8,38.99418,-92.48874,234.63333333333333,981.6444444444444
219,2026-01-13,12:44:21,0.29833333333333334,5.214666666666667,12.206666666666669,96.16666666666669,3.1333333333333333,0.4633333333333333,6.293333333333333,NA,0.09,196.76666666666668,128,167.2,8.026666666666666,38.99417333333333,-92.48874,234.66666666666663,981.5555555555557
219,2026-01-13,12:44:24,0.387,5.205666666666667,12.23,96.33333333333331,3.356666666666667,0.5233333333333333,6.38,NA,0.09,196.7,128,167,8.04,38.99417,-92.48874,234.33333333333337,981.6444444444444
219,2026-01-13,12:44:27,0.45333333333333337,5.203666666666667,12.253333333333334,96.46666666666668,3.4566666666666666,0.58,6.9,NA,0.09,196.76666666666668,128,166.73333333333332,8.046666666666667,38.99417,-92.48874,234.36666666666667,981.6888888888888
219,2026-01-13,12:44:30,0.539,5.197,12.27,96.66666666666669,3.776666666666667,0.6433333333333333,7.643333333333333,NA,0.09,196.7,128,166.96666666666667,8.06,38.99417,-92.48874,234.3,981.6
219,2026-01-13,12:44:33,0.617,5.196,12.296666666666669,96.8,4.113333333333333,0.7,8.5,NA,0.09,196.76666666666668,128,166.5,8.063333333333334,38.99417,-92.48874,234.16666666666663,981.6444444444444
219,2026-01-13,12:44:39,0.66,5.195666666666667,12.32,97.03333333333332,4.756666666666667,0.8433333333333333,9.846666666666668,NA,0.09,196.66666666666663,128,166.26666666666665,8.08,38.99416333333333,-92.48874,234.16666666666663,981.6444444444444
219,2026-01-13,12:44:42,0.7316666666666667,5.191,12.333333333333334,97.1,5.09,0.95,10.17,NA,0.09,196.73333333333332,128,165.06666666666666,8.076666666666666,38.99417,-92.48874,233.86666666666667,981.6
219,2026-01-13,12:44:45,0.775,5.189,12.353333333333332,97.26666666666668,5.463333333333333,0.9866666666666668,11.286666666666669,NA,0.09,197.03333333333333,128,165.53333333333333,8.086666666666666,38.99417,-92.48874,233.6,981.6
219,2026-01-13,12:44:48,0.8226666666666667,5.193,12.366666666666664,97.36666666666667,5.456666666666666,1.0033333333333334,11.49,NA,0.09,197.03333333333333,128,166,8.1,38.99417,-92.48874,233.43333333333337,981.5555555555557
219,2026-01-13,12:44:51,0.8683333333333333,5.197,12.373333333333331,97.43333333333334,5.38,1.0033333333333334,11.353333333333332,NA,0.09,196.96666666666667,128,166.16666666666666,8.106666666666666,38.99417,-92.48874,233.4,981.5555555555557
219,2026-01-13,12:44:54,0.8973333333333333,5.197333333333334,12.386666666666668,97.53333333333332,5.383333333333334,0.8933333333333333,11.44,NA,0.09,197,128,166.06666666666666,8.113333333333333,38.99417,-92.48874,233.46666666666667,981.6444444444444
219,2026-01-13,12:44:57,0.928,5.194,12.386666666666668,97.56666666666666,5.233333333333333,0.9466666666666668,11.386666666666668,NA,0.09,196.96666666666667,128,166.23333333333332,8.126666666666667,38.99417,-92.48874,233.56666666666663,981.5555555555557
219,2026-01-13,12:45:00,0.9533333333333333,5.192666666666667,12.393333333333334,97.56666666666666,5.4,0.8766666666666667,11.063333333333333,NA,0.09,197,128,166.3,8.133333333333335,38.99417,-92.48874,233.5,981.5555555555557
219,2026-01-13,12:45:03,0.98,5.1803333333333335,12.416666666666666,97.7,5.316666666666666,0.86,11.39,NA,0.09,197.13333333333333,128,166.23333333333332,8.14,38.99417,-92.48874666666669,233.46666666666667,981.6444444444444
219,2026-01-13,12:45:06,1.02,5.187,12.42,97.8,5.140000000000001,0.77,10.956666666666669,NA,0.09,196.76666666666665,128,166.46666666666667,8.1466666666666665,38.99417,-92.48874,233.46666666666667,981.5555555555557
219,2026-01-13,12:45:09,1.0663333333333334,5.191,12.43,97.83333333333331,5.426666666666667,0.8266666666666667,10.62,NA,0.09,196.73333333333332,128,166.1,8.15,38.99417,-92.48874,233.5,981.6444444444444
219,2026-01-13,12:45:12,1.1106666666666667,5.1883333333333335,12.433333333333334,97.9,5.433333333333334,0.7233333333333333,11.24,NA,0.09,196.86666666666667,128,165.16666666666666,8.1466666666666665,38.99417,-92.48874,233.53333333333333,981.5111111111112
219,2026-01-13,12:45:15,1.154,5.189,12.43,97.86666666666667,5.37,0.6833333333333333,11.716666666666669,NA,0.09,196.93333333333337,128,164.96666666666667,8.15,38.99417,-92.48874,233.3,981.5555555555557
219,2026-01-13,12:45:18,1.1983333333333333,5.182333333333333,12.43,97.83333333333331,5.7,0.7266666666666667,12.093333333333334,NA,0.09,196.96666666666667,128,165.6,8.156666666666666,38.99417,-92.48874,233.06666666666663,981.4666666666668
219,2026-01-13,12:45:21,1.241,5.1786666666666665,12.443333333333332,97.93333333333334,5.633333333333334,0.6466666666666667,11.933333333333334,NA,0.09,196.83333333333337,128,165.9,8.16,38.99416333333333,-92.48874,233.06666666666663,981.6
219,2026-01-13,12:45:24,1.2986666666666666,5.172666666666666,12.44,97.9,5.716666666666667,0.6833333333333333,12.003333333333332,NA,0.09,196.76666666666668,128,166.33333333333334,8.17,38.99416,-92.48873333333334,233.13333333333333,981.5555555555557
219,2026-01-13,12:45:27,1.353,5.1723333333333334,12.433333333333334,97.86666666666667,5.836666666666667,0.65,12.15,NA,0.09,196.8,128,166.46666666666667,8.17,38.99416,-92.48873,233.1,981.4666666666668
219,2026-01-13,12:45:30,1.4023333333333334,5.1723333333333334,12.446666666666664,97.9,5.663333333333334,0.5833333333333334,11.936666666666667,NA,0.09,196.9,128,166.5,8.17,38.99416,-92.48873,233.26666666666668,981.5111111111112
219,2026-01-13,12:45:33,1.4303333333333332,5.173666666666667,12.44,97.9,5.676666666666667,0.6233333333333333,12.103333333333332,NA,0.09,196.9,128,167.23333333333332,8.18,38.99416,-92.48873,233.16666666666663,981.5555555555557
219,2026-01-13,12:45:36,1.458,5.176666666666667,12.44,97.9,5.516666666666667,0.6,12.116666666666667,NA,0.09,196.8,128,166.66666666666666,8.18,38.99415333333333,-92.48873,233.2,981.4666666666668
