MULakeNumber,date,dateTime,depth_m,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU,phycoerythrinTAL_RFU,turbidity_FNU,salinity_psu,specificConductivity_uSpcm,tds_mgpL,orp_mV,pH,latitude,longitude,altitude_m,barometerAirHandheld_mbars
112,2024-11-26,2024-11-26T12:11:02Z,0.014,12.551,9.95,93.6,0.06,-0.09,-0.72,NA,0.11,234.6,152,69.5,7.9,37.89837,-90.64296,264.5,992.4
112,2024-11-26,2024-11-26T12:11:03Z,0.02,12.545,9.91,93.2,0.07,-0.05,-0.36,NA,0.11,234.5,152,69.6,7.9,37.89837,-90.64296,264.4,992.5333333333332
112,2024-11-26,2024-11-26T12:11:06Z,0.099,12.555,9.8,92.2,0.02,-0.06,-0.76,NA,0.11,234.4,152,70,7.9,37.89837,-90.64296,264.3,992.4
112,2024-11-26,2024-11-26T12:11:07Z,0.218,12.565,9.77,91.9,0.06,-0.1,-0.7,NA,0.11,234.5,152,70.1,7.9,37.89837,-90.64296,264.3,992.4
112,2024-11-26,2024-11-26T12:11:08Z,0.338,12.572,9.74,91.6,0.06,-0.09,-0.42,NA,0.11,234.9,153,70.2,7.9,37.89837,-90.64296,264.2,992.4
112,2024-11-26,2024-11-26T12:11:09Z,0.508,12.568,9.71,91.3,0.11,-0.08,-0.29,NA,0.11,235,153,70.4,7.9,37.89837,-90.64296,264.2,992.4
112,2024-11-26,2024-11-26T12:11:10Z,0.748,12.547,9.68,91,0.16,-0.11,-0.31,NA,0.11,235,153,70.6,7.9,37.89837,-90.64296,264.2,992.4
112,2024-11-26,2024-11-26T12:11:11Z,0.916,12.526,9.65,90.7,0.15,-0.08,-0.44,NA,0.11,234.9,153,70.7,7.91,37.89837,-90.64296,264.3,992.4
112,2024-11-26,2024-11-26T12:11:12Z,1.107,12.515,9.63,90.5,0.13,-0.03,-0.48,NA,0.11,234.8,153,70.8,7.91,37.89837,-90.64296,264.3,992.4
112,2024-11-26,2024-11-26T12:11:13Z,1.247,12.497,9.6,90.2,0.12,-0.02,-0.47,NA,0.11,234.8,153,71,7.91,37.89837,-90.64296,264.3,992.4
112,2024-11-26,2024-11-26T12:11:14Z,1.486,12.488,9.59,90,0.14,-0.06,-0.55,NA,0.11,234.9,153,71.1,7.91,37.89837,-90.64296,264.3,992.5333333333332
112,2024-11-26,2024-11-26T12:11:15Z,1.645,12.467,9.56,89.7,0.16,-0.1,-0.48,NA,0.11,235.1,153,71.2,7.91,37.89837,-90.64296,264.5,992.4
112,2024-11-26,2024-11-26T12:11:16Z,1.84,12.458,9.54,89.5,0.15,-0.08,-0.25,NA,0.11,235.1,153,71.4,7.91,37.89837,-90.64296,264.5,992.5333333333332
112,2024-11-26,2024-11-26T12:11:17Z,2.044,12.455,9.52,89.3,0.2,-0.02,-0.04,NA,0.11,235,153,71.5,7.91,37.89837,-90.64296,264.5,992.4
112,2024-11-26,2024-11-26T12:11:18Z,2.261,12.455,9.5,89.1,0.23,0.02,0.07,NA,0.11,234.9,153,71.6,7.91,37.89837,-90.64296,264.6,992.4
112,2024-11-26,2024-11-26T12:11:19Z,2.49,12.458,9.48,89,0.27,-0.05,-0.13,NA,0.11,234.8,153,71.7,7.91,37.89837,-90.64296,264.6,992.4
112,2024-11-26,2024-11-26T12:11:20Z,2.677,12.456,9.46,88.8,0.36,-0.09,-0.2,NA,0.11,234.8,153,71.8,7.91,37.89837,-90.64296,264.6,992.4
112,2024-11-26,2024-11-26T12:11:21Z,2.851,12.454,9.44,88.6,0.31,-0.06,-0.26,NA,0.11,234.9,153,71.9,7.91,37.89837,-90.64296,264.7,992.5333333333332
112,2024-11-26,2024-11-26T12:11:22Z,3.158,12.459,9.43,88.5,0.23,-0.05,-0.14,NA,0.11,234.9,153,72,7.91,37.89837,-90.64296,264.6,992.4
112,2024-11-26,2024-11-26T12:11:23Z,3.392,12.46,9.41,88.3,0.25,-0.06,-0.16,NA,0.11,235,153,72.1,7.91,37.89837,-90.64296,264.5,992.4
112,2024-11-26,2024-11-26T12:11:24Z,3.636,12.45,9.39,88.1,0.31,-0.06,-0.29,NA,0.11,235,153,72.2,7.91,37.89837,-90.64296,264.5,992.4
112,2024-11-26,2024-11-26T12:11:25Z,3.831,12.433,9.38,88,0.27,-0.06,-0.52,NA,0.11,234.9,153,72.3,7.91,37.89837,-90.64296,264.5,992.5333333333332
112,2024-11-26,2024-11-26T12:11:26Z,4.075,12.417,9.37,87.9,0.23,-0.08,-0.54,NA,0.11,234.8,153,72.4,7.91,37.89837,-90.64296,264.4,992.4
112,2024-11-26,2024-11-26T12:11:27Z,4.329,12.413,9.36,87.7,0.22,-0.07,-0.28,NA,0.11,234.8,153,72.5,7.91,37.89837,-90.64296,264.4,992.4
112,2024-11-26,2024-11-26T12:11:28Z,4.514,12.41,9.34,87.6,0.2,-0.02,-0.4,NA,0.11,234.8,153,72.6,7.91,37.89837,-90.64296,264.4,992.4
112,2024-11-26,2024-11-26T12:11:29Z,4.693,12.409,9.33,87.4,0.2,-0.04,-0.47,NA,0.11,234.9,153,72.7,7.91,37.89837,-90.64296,264.3,992.4
112,2024-11-26,2024-11-26T12:11:30Z,4.883,12.407,9.31,87.3,0.21,-0.02,-0.25,NA,0.11,234.9,153,72.8,7.91,37.89837,-90.64297,263.9,992.4
112,2024-11-26,2024-11-26T12:11:31Z,5.262,12.405,9.3,87.1,0.23,-0.03,-0.48,NA,0.11,234.9,153,72.9,7.91,37.89837,-90.64297,263.9,992.4
112,2024-11-26,2024-11-26T12:11:32Z,5.441,12.403,9.28,87,0.23,-0.06,-0.64,NA,0.11,234.9,153,73,7.91,37.89837,-90.64297,263.9,992.4
112,2024-11-26,2024-11-26T12:11:33Z,5.524,12.402,9.27,86.8,0.22,-0.06,-0.55,NA,0.11,234.6,152,73.1,7.91,37.89837,-90.64297,263.8,992.4
112,2024-11-26,2024-11-26T12:11:34Z,5.618,12.401,9.25,86.7,0.21,-0.03,-0.44,NA,0.11,234.5,152,73.2,7.9,37.89837,-90.64297,263.8,992.4
112,2024-11-26,2024-11-26T12:11:35Z,5.687,12.4,9.24,86.6,0.17,-0.02,-0.35,NA,0.11,234.8,153,73.3,7.9,37.89837,-90.64297,263.8,992.4
112,2024-11-26,2024-11-26T12:11:36Z,5.737,12.399,9.23,86.5,0.17,-0.04,-0.52,NA,0.11,235,153,73.3,7.9,37.89837,-90.64297,263.9,992.4
112,2024-11-26,2024-11-26T12:11:37Z,5.825,12.398,9.22,86.4,0.21,-0.05,-0.57,NA,0.11,235,153,73.4,7.9,37.89837,-90.64297,263.9,992.4
112,2024-11-26,2024-11-26T12:11:38Z,5.872,12.396,9.2,86.2,0.15,-0.06,-0.56,NA,0.11,234.9,153,73.6,7.9,37.89837,-90.64297,263.9,992.4
112,2024-11-26,2024-11-26T12:11:39Z,5.942,12.394,9.19,86.1,0.14,-0.07,-0.6,NA,0.11,234.8,153,73.6,7.9,37.89837,-90.64297,263.8,992.4
112,2024-11-26,2024-11-26T12:11:40Z,6.034,12.393,9.19,86,0.16,-0.07,-0.44,NA,0.11,234.8,153,73.7,7.9,37.89837,-90.64297,263.9,992.5333333333332
112,2024-11-26,2024-11-26T12:11:41Z,6.1,12.393,9.18,86,0.21,-0.04,-0.38,NA,0.11,234.7,153,73.8,7.9,37.89837,-90.64297,263.9,992.4
112,2024-11-26,2024-11-26T12:11:42Z,6.149,12.394,9.17,85.9,0.2,-0.02,-0.45,NA,0.11,234.7,153,73.9,7.9,37.89837,-90.64297,263.9,992.4
112,2024-11-26,2024-11-26T12:11:43Z,6.268,12.393,9.16,85.8,0.14,-0.02,-0.58,NA,0.11,234.8,153,74,7.9,37.89837,-90.64297,263.9,992.4
112,2024-11-26,2024-11-26T12:11:44Z,6.391,12.393,9.15,85.7,0.17,-0.08,-0.63,NA,0.11,234.8,153,74,7.9,37.89838,-90.64297,263.9,992.4
112,2024-11-26,2024-11-26T12:11:45Z,6.474,12.393,9.14,85.6,0.19,-0.08,-0.57,NA,0.11,234.8,153,74.1,7.9,37.89838,-90.64297,264,992.4
112,2024-11-26,2024-11-26T12:11:46Z,6.511,12.393,9.14,85.6,0.19,-0.05,-0.67,NA,0.11,234.7,153,74.2,7.9,37.89838,-90.64297,264,992.4
112,2024-11-26,2024-11-26T12:11:47Z,6.651,12.394,9.13,85.5,0.2,-0.05,-0.68,NA,0.11,234.7,153,74.2,7.9,37.89838,-90.64297,264,992.4
112,2024-11-26,2024-11-26T12:11:48Z,6.809,12.394,9.12,85.4,0.25,-0.02,-0.55,NA,0.11,234.5,152,74.4,7.9,37.89838,-90.64297,264,992.4
112,2024-11-26,2024-11-26T12:11:49Z,6.912,12.394,9.11,85.4,0.23,-0.01,-0.5,NA,0.11,234.4,152,74.4,7.89,37.89838,-90.64297,264.2,992.4
112,2024-11-26,2024-11-26T12:11:50Z,6.999,12.394,9.11,85.4,0.19,-0.02,-0.62,NA,0.11,234.7,153,74.5,7.89,37.89838,-90.64297,264.4,992.5333333333332
112,2024-11-26,2024-11-26T12:11:51Z,7.156,12.394,9.1,85.3,0.22,-0.04,-0.64,NA,0.11,234.8,153,74.6,7.89,37.89839,-90.64297,264.5,992.4
112,2024-11-26,2024-11-26T12:11:52Z,7.307,12.394,9.1,85.2,0.27,-0.02,-0.54,NA,0.11,234.8,153,74.6,7.89,37.89839,-90.64297,264.7,992.4
112,2024-11-26,2024-11-26T12:11:53Z,7.419,12.395,9.09,85.2,0.24,0.01,-0.55,NA,0.11,235,153,74.7,7.89,37.89839,-90.64297,264.8,992.4
112,2024-11-26,2024-11-26T12:11:54Z,7.572,12.394,9.09,85.1,0.19,0,-0.48,NA,0.11,235,153,74.8,7.89,37.89839,-90.64297,264.9,992.4
112,2024-11-26,2024-11-26T12:11:55Z,7.689,12.395,9.09,85.1,0.21,-0.06,-0.3,NA,0.11,234.8,153,74.9,7.89,37.8984,-90.64297,265.1,992.4
112,2024-11-26,2024-11-26T12:11:56Z,7.804,12.394,9.08,85,0.21,-0.05,-0.43,NA,0.11,234.7,153,75,7.89,37.8984,-90.64297,265.2,992.4
112,2024-11-26,2024-11-26T12:11:57Z,7.92,12.391,9.07,85,0.19,-0.01,-0.55,NA,0.11,234.7,153,75.2,7.89,37.8984,-90.64297,265.2,992.4
112,2024-11-26,2024-11-26T12:11:58Z,8.066,12.389,9.07,84.9,0.19,-0.05,-0.59,NA,0.11,234.6,153,75.2,7.89,37.8984,-90.64297,265.1,992.4
112,2024-11-26,2024-11-26T12:11:59Z,8.16,12.388,9.06,84.9,0.18,-0.1,-0.57,NA,0.11,234.7,153,75.2,7.89,37.8984,-90.64297,265,992.4
112,2024-11-26,2024-11-26T12:12:00Z,8.294,12.388,9.05,84.8,0.15,-0.12,-0.53,NA,0.11,234.9,153,75.4,7.89,37.8984,-90.64297,265,992.4
112,2024-11-26,2024-11-26T12:12:01Z,8.423,12.389,9.05,84.7,0.15,-0.09,-0.4,NA,0.11,234.9,153,75.6,7.88,37.8984,-90.64297,264.8,992.4
112,2024-11-26,2024-11-26T12:12:02Z,8.528,12.388,9.04,84.7,0.16,-0.09,-0.3,NA,0.11,234.9,153,75.8,7.88,37.8984,-90.64297,264.7,992.4
112,2024-11-26,2024-11-26T12:12:03Z,8.555,12.388,9.03,84.6,0.18,-0.07,-0.46,NA,0.11,235,153,76,7.88,37.8984,-90.64297,264.7,992.4
112,2024-11-26,2024-11-26T12:12:04Z,8.664,12.387,9.03,84.6,0.2,-0.06,-0.43,NA,0.11,235.1,153,76.2,7.87,37.8984,-90.64297,264.6,992.4
112,2024-11-26,2024-11-26T12:12:05Z,8.827,12.387,9.02,84.5,0.21,-0.09,-0.36,NA,0.11,235,153,76.5,7.87,37.8984,-90.64297,264.6,992.2666666666668
112,2024-11-26,2024-11-26T12:12:06Z,8.928,12.386,9.02,84.4,0.18,-0.09,-0.37,NA,0.11,234.8,153,76.9,7.86,37.89841,-90.64297,264.7,992.4
112,2024-11-26,2024-11-26T12:12:07Z,8.975,12.386,9.01,84.3,0.12,-0.09,-0.31,NA,0.11,234.7,153,77,7.86,37.89841,-90.64297,264.8,992.4
112,2024-11-26,2024-11-26T12:12:08Z,9.085,12.385,9,84.3,0.17,-0.07,-0.48,NA,0.11,234.8,153,77,7.86,37.89841,-90.64296,264.9,992.4
112,2024-11-26,2024-11-26T12:12:09Z,9.286,12.385,8.99,84.2,0.17,-0.04,-0.69,NA,0.11,234.9,153,77.1,7.86,37.89841,-90.64296,264.9,992.4
112,2024-11-26,2024-11-26T12:12:10Z,9.366,12.384,8.99,84.2,0.15,-0.03,-0.65,NA,0.11,234.9,153,77.2,7.86,37.89841,-90.64296,265,992.4
112,2024-11-26,2024-11-26T12:12:11Z,9.455,12.384,8.99,84.1,0.21,-0.04,-0.5,NA,0.11,234.9,153,77.1,7.86,37.89841,-90.64296,265,992.4
112,2024-11-26,2024-11-26T12:12:12Z,9.592,12.384,8.98,84.1,0.21,-0.06,-0.47,NA,0.11,235,153,77.1,7.86,37.89841,-90.64296,265,992.4
112,2024-11-26,2024-11-26T12:12:13Z,9.733,12.384,8.98,84.1,0.17,-0.1,-0.58,NA,0.11,234.9,153,77,7.86,37.89841,-90.64296,265,992.4
112,2024-11-26,2024-11-26T12:12:14Z,9.839,12.382,8.97,84,0.22,-0.09,-0.66,NA,0.11,234.8,153,77,7.86,37.89842,-90.64296,265.1,992.4
112,2024-11-26,2024-11-26T12:12:15Z,9.958,12.381,8.96,83.9,0.24,-0.08,-0.7,NA,0.11,234.7,153,77,7.86,37.89842,-90.64296,265.5,992.4
112,2024-11-26,2024-11-26T12:12:16Z,10.045,12.38,8.96,83.9,0.21,-0.07,-0.56,NA,0.11,234.7,153,77.1,7.86,37.89842,-90.64296,265.5,992.4
112,2024-11-26,2024-11-26T12:12:17Z,10.16,12.379,8.95,83.9,0.18,-0.05,-0.5,NA,0.11,234.7,153,77.1,7.86,37.89842,-90.64295,265.5,992.2666666666668
112,2024-11-26,2024-11-26T12:12:18Z,10.287,12.38,8.95,83.8,0.17,-0.07,-0.51,NA,0.11,234.8,153,77.1,7.86,37.89843,-90.64295,265.6,992.4
112,2024-11-26,2024-11-26T12:12:19Z,10.383,12.38,8.95,83.8,0.17,-0.05,-0.47,NA,0.11,234.9,153,77.2,7.86,37.89843,-90.64295,265.9,992.2666666666668
112,2024-11-26,2024-11-26T12:12:20Z,10.433,12.38,8.94,83.7,0.18,-0.03,-0.62,NA,0.11,234.9,153,77.2,7.86,37.89843,-90.64295,265.9,992.4
112,2024-11-26,2024-11-26T12:12:21Z,10.547,12.38,8.94,83.7,0.19,-0.02,-0.66,NA,0.11,234.8,153,77.1,7.87,37.89843,-90.64295,265.6,992.4
112,2024-11-26,2024-11-26T12:12:22Z,10.69,12.378,8.93,83.7,0.17,-0.01,-0.66,NA,0.11,234.7,153,77.1,7.87,37.89843,-90.64295,265.4,992.4
112,2024-11-26,2024-11-26T12:12:23Z,10.831,12.379,8.93,83.7,0.19,-0.05,-0.66,NA,0.11,234.7,153,77.1,7.87,37.89843,-90.64295,265.5,992.2666666666668
112,2024-11-26,2024-11-26T12:12:24Z,10.894,12.379,8.93,83.6,0.15,-0.08,-0.56,NA,0.11,234.7,153,77.2,7.87,37.89843,-90.64295,265.7,992.2666666666668
