Level0_profiles,MULakeNumber,year,month,day,csv,Level0to1_done,Level0to1_done_date,profile_date,maxDepth_m,latitude,longitude,altitude_m,barometerAirHandheld_mbars,doConcentration_mgpL_bottom,doConcentration_mgpL_bottom5mean,nrow_original_Level0,nrow_readProfile,nrow_Level1,Level1FileName
030_2020_06_29.csv,030,2020,06,29,csv,Yes,2026-01-28,2020-06-29,8.285,36.933037647058825,-90.2830624264706,111.95294117647059,1003.197794117647,0.14,0.14666666666666667,178,178,136,030_2020_06_29_Level1.csv
030_2020_07_21.csv,030,2020,07,21,csv,Yes,2026-01-28,2020-07-21,3.178,36.93586815789474,-90.28366842105264,110.21578947368421,1007.3499999999999,2.7,3.025,60,60,38,030_2020_07_21_Level1.csv
030_2020_08_11.csv,030,2020,08,11,csv,Yes,2026-01-28,2020-08-11,8.889,36.93292886524823,-90.28309347517731,109.73191489361702,1006.3517730496453,0.12,0.12833333333333333,153,153,141,030_2020_08_11_Level1.csv
030_2020_08_31.csv,030,2020,08,31,csv,Yes,2026-01-28,2020-08-31,6.965333333333334,36.928644918699185,-90.2859819105691,109.50975609756098,1000.8146341463414,5.086666666666667,4.974444444444444,323,109,82,030_2020_08_31_Level1.csv
036_2020_06_29.csv,036,2020,06,29,csv,Yes,2026-01-28,2020-06-29,7.395,37.1395996,-90.77353704,152.6504,997.4112,0.93,0.95,162,162,125,036_2020_06_29_Level1.csv
036_2020_07_21.csv,036,2020,07,21,csv,Yes,2026-01-28,2020-07-21,7.69,37.138795813953486,-90.7737211627907,151.25,1000.8337209302325,0.39,0.41833333333333333,111,111,86,036_2020_07_21_Level1.csv
036_2020_08_11.csv,036,2020,08,11,csv,Yes,2026-01-28,2020-08-11,7.419,37.13922769230769,-90.77389197802198,151.33516483516485,1002.7923076923076,2.18,2.4166666666666665,93,93,91,036_2020_08_11_Level1.csv
036_2020_09_01.csv,036,2020,09,01,csv,Yes,2026-01-28,2020-09-01,7.393,37.13935246268657,-90.77376097014925,152.13880597014926,998.7708955223881,0.86,1.485,239,239,134,036_2020_09_01_Level1.csv
039_2020_06_30.csv,039,2020,06,30,csv,Yes,2026-01-28,2020-06-30,23.83,37.72983543071161,-90.90958265917604,331.97303370786517,974.9475655430712,0.19666666666666668,0.2388888888888889,298,100,89,039_2020_06_30_Level1.csv
039_2020_08_11.csv,039,2020,08,11,csv,Yes,2026-01-28,2020-08-11,20.979333333333333,37.729420081300816,-90.9097893495935,330.2593495934959,981.1418699186992,0.16,0.18611111111111112,257,87,82,039_2020_08_11_Level1.csv
