Level0_profiles,MULakeNumber,year,month,day,csv,Level0to1_done,Level0to1_done_date,profile_date,maxDepth_m,latitude,longitude,altitude_m,barometerAirHandheld_mbars,doConcentration_mgpL_bottom,doConcentration_mgpL_bottom5mean,nrow_original_Level0,nrow_readProfile,nrow_Level1,Level1FileName,nrow_Level2,Level2_maxDepth_m,Level1to2_done,Level1to2_done_date,flag_monotonicDensity,flag_decreasingTemp,flag_lowTemps,flag_lowpH,flag_jumps_chlorophyll_RFU,flag_jumps_depth_m,flag_jumps_doSaturation_percent,flag_jumps_doConcentration_mgpL,flag_jumps_orp_mV,flag_jumps_waterPressure_barA,flag_jumps_salinity_psu,flag_jumps_specificConductivity_uSpcm,flag_jumps_phycocyaninBGA_RFU,flag_jumps_tds_mgpL,flag_jumps_turbidity_FNU,flag_jumps_pH,flag_jumps_temp_degC,flag_jumps_verticalPosition_m,flag_jumps_latitude,flag_jumps_longitude,flag_jumps_altitude_m,flag_jumps_barometerAirHandheld_mbars,Level1to2_some_depths_removed,Level1to2_profileRemoved
003_2025_05_27.csv,003,2025,05,27,csv,Yes,2026-01-28,2025-05-27,17.280666666666665,39.341025584795325,-91.153031900584807,242.1964912280702,988.8931773879144,NA,NA,389,130,114,003_2025_05_27_Level1.csv,114,17.280666666666665,Yes,2026-01-28,0,0,0,0,0,2,1,1,0,2,0,0,3,0,0,0,0,2,0,0,0,0,NA,NA
003_2025_06_16.csv,003,2025,06,16,csv,Yes,2026-01-28,2025-06-16,17.126666666666665,39.34142408099689,-91.15271959501558,239.59127725856695,984.015160955348,NA,NA,366,123,107,003_2025_06_16_Level1.csv,105,16.971666666666668,Yes,2026-01-28,0,0,0,0,1,3,1,1,0,3,0,0,5,0,0,0,0,1,0,0,0,0,yes,NA
003_2025_07_07.csv,003,2025,07,07,csv,Yes,2026-01-28,2025-07-07,16.982,39.34149839793282,-91.15265529715762,239.64625322997415,987.339534883721,NA,NA,435,145,129,003_2025_07_07_Level1.csv,129,16.982,Yes,2026-01-28,0,0,0,0,0,1,2,2,0,1,0,0,2,0,0,0,0,1,0,0,0,0,NA,NA
003_2025_07_31.csv,003,2025,07,31,csv,Yes,2026-01-28,2025-07-31,16.892,39.34124539906103,-91.15286727699532,240.93568075117372,992.58779342723,0.11,0.10333333333333332,247,247,213,003_2025_07_31_Level1.csv,207,16.534,Yes,2026-01-28,0,0,0,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,yes,NA
005_2025_05_06.csv,005,2025,05,06,csv,Yes,2026-01-28,2025-05-06,14.369,39.02083101190476,-90.92010922619048,167.8452380952381,998.1793650793652,0.19,0.28500000000000003,208,208,168,005_2025_05_06_Level1.csv,154,14.055,Yes,2026-01-28,0,0,0,0,5,1,0,1,3,1,0,0,9,0,0,0,0,2,0,0,0,0,yes,NA
005_2025_06_25.csv,005,2025,06,25,csv,Yes,2026-01-28,2025-06-25,12.021,39.02180109589041,-90.91967273972602,169.66095890410958,999.2611872146118,0.75,0.7516666666666667,177,177,146,005_2025_06_25_Level1.csv,137,11.835,Yes,2026-01-28,0,0,0,0,2,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,yes,NA
005_2025_08_20.csv,005,2025,08,20,csv,Yes,2026-01-28,2025-08-20,14.350333333333332,39.021582037037035,-90.91944074074074,168.80481481481482,997.4943209876544,0.18666666666666668,0.19944444444444445,303,102,90,005_2025_08_20_Level1.csv,85,14.117666666666668,Yes,2026-01-28,0,0,0,0,2,2,0,0,1,2,0,0,12,0,0,0,0,2,0,0,0,0,yes,NA
018_2025_05_28.csv,018,2025,05,28,csv,Yes,2026-01-28,2025-05-28,22.496333333333332,37.89893944444445,-90.628242124183,263.29417475728155,987.3572016460904,0.17,0.24722222222222223,384,128,108,018_2025_05_28_Level1.csv,102,22.151,Yes,2026-01-28,0,0,0,0,1,1,0,0,0,1,0,0,18,0,0,0,0,1,0,0,0,0,yes,NA
018_2025_06_17.csv,018,2025,06,17,csv,Yes,2026-01-28,2025-06-17,20.733,37.8990297167756,-90.62849938997822,266.3662309368192,981.2049382716048,0.01666666666666666,0.03111111111111111,566,190,153,018_2025_06_17_Level1.csv,150,20.585333333333335,Yes,2026-01-28,0,0,0,0,1,1,0,0,0,1,0,0,6,0,0,0,0,1,0,0,0,0,yes,NA
018_2025_07_08.csv,018,2025,07,08,csv,Yes,2026-01-28,2025-07-08,20.218,37.89959394179894,-90.62838775132276,266.9383597883598,987.5696649029984,0.14,0.14833333333333334,458,153,126,018_2025_07_08_Level1.csv,109,17.433333333333334,Yes,2026-01-28,1,1,0,0,10,2,0,0,0,2,0,0,3,0,0,0,0,2,0,0,0,0,yes,NA
018_2025_07_29.csv,018,2025,07,29,csv,Yes,2026-01-28,2025-07-29,20.897,37.89877123595505,-90.62831086142322,267.6865168539326,990.4893882646692,0.19,0.21666666666666667,324,108,89,018_2025_07_29_Level1.csv,87,20.653333333333332,Yes,2026-01-28,0,0,0,0,2,2,0,0,1,2,0,0,5,0,0,0,0,2,0,0,0,0,yes,NA
024_2025_05_29.csv,024,2025,05,29,csv,Yes,2026-01-28,2025-05-29,5.541,37.57700203703703,-90.30864101851851,224.63888888888889,991.7012345679012,0.21,0.22666666666666668,182,182,108,024_2025_05_29_Level1.csv,98,5.348,Yes,2026-01-28,0,0,0,0,0,1,0,0,2,1,0,0,9,0,0,0,0,2,0,0,0,0,yes,NA
024_2025_06_17.csv,024,2025,06,17,csv,Yes,2026-01-28,2025-06-17,5.399,37.57702495798319,-90.3087025210084,220.6529411764706,983.7960784313724,0.19,0.18666666666666668,241,241,119,024_2025_06_17_Level1.csv,114,5.193,Yes,2026-01-28,3,3,0,0,1,2,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,yes,NA
024_2025_07_08.csv,024,2025,07,08,csv,Yes,2026-01-28,2025-07-08,5.513,37.5769661,-90.3085917,225.079,989.8146666666668,0.16,0.175,188,188,100,024_2025_07_08_Level1.csv,86,4.847,Yes,2026-01-28,1,0,0,0,0,1,0,0,1,1,0,0,3,0,0,0,0,1,0,0,0,0,yes,NA
024_2025_07_29.csv,024,2025,07,29,csv,Yes,2026-01-28,2025-07-29,5.286,37.577052571428574,-90.3086459047619,224,992.4660317460316,0.18,0.19333333333333333,226,226,105,024_2025_07_29_Level1.csv,103,5.14,Yes,2026-01-28,5,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,yes,NA
030_2025_05_29.csv,030,2025,05,29,csv,Yes,2026-01-28,2025-05-29,8.154666666666667,36.93300831111111,-90.28285733333333,107.58444444444444,1004.6056296296296,3.376666666666667,4.542222222222223,276,92,75,030_2025_05_29_Level1.csv,75,8.154666666666667,Yes,2026-01-28,0,0,0,0,0,1,0,0,0,1,0,0,4,0,0,0,0,1,0,0,0,0,NA,NA
030_2025_06_18.csv,030,2025,06,18,csv,Yes,2026-01-28,2025-06-18,9.516,36.93263953488372,-90.28280337209304,113.27093023255814,998.4573643410852,0.17666666666666667,0.18722222222222223,313,105,86,030_2025_06_18_Level1.csv,82,9.312666666666669,Yes,2026-01-28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,yes,NA
030_2025_07_09.csv,030,2025,07,09,csv,Yes,2026-01-28,2025-07-09,8.195,36.93263787401575,-90.2832357480315,106.8008,1004.2089238845144,0.23,0.24,204,204,127,030_2025_07_09_Level1.csv,127,8.195,Yes,2026-01-28,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA
030_2025_07_30.csv,030,2025,07,30,csv,Yes,2026-01-28,2025-07-30,7.877,36.93237554621849,-90.28310806722688,112.12857142857143,1004.9064425770308,0.26,0.26666666666666666,200,200,119,030_2025_07_30_Level1.csv,119,7.877,Yes,2026-01-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
036_2025_05_29.csv,036,2025,05,29,csv,Yes,2026-01-28,2025-05-29,10.097666666666669,37.13799253333333,-90.77436048888887,149.78844444444445,998.685037037037,0.39,0.905,270,91,75,036_2025_05_29_Level1.csv,60,8.403666666666666,Yes,2026-01-28,0,0,0,0,1,1,0,0,0,1,0,0,32,0,0,0,0,1,0,0,0,0,yes,NA
036_2025_06_18.csv,036,2025,06,18,csv,Yes,2026-01-28,2025-06-18,8.366,37.13925180722891,-90.77361779116464,152.4706827309237,992.9477911646586,3.8866666666666663,4.227777777777778,337,113,83,036_2025_06_18_Level1.csv,65,6.541333333333333,Yes,2026-01-28,0,0,0,0,2,2,0,0,0,2,0,0,4,0,0,0,0,2,0,0,0,0,yes,NA
036_2025_07_09.csv,036,2025,07,09,csv,Yes,2026-01-28,2025-07-09,7.666,37.13900390909091,-90.77420272727272,154.88,999.9672727272728,1.06,1.1816666666666666,190,190,110,036_2025_07_09_Level1.csv,89,6.134,Yes,2026-01-28,1,0,0,0,0,2,0,0,0,2,0,0,7,0,0,0,0,2,0,0,0,0,yes,NA
036_2025_07_30.csv,036,2025,07,30,csv,Yes,2026-01-28,2025-07-30,7.721,37.13870543103449,-90.77536112068964,153.07155172413792,1000.0701149425288,0.54,0.6266666666666667,187,187,116,036_2025_07_30_Level1.csv,114,7.619,Yes,2026-01-28,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,yes,NA
039_2025_05_28.csv,039,2025,05,28,csv,Yes,2026-01-28,2025-05-28,25.416666666666668,37.72945717333333,-90.90897546666666,332.98693333333335,979.4453333333332,0.09,0.12944444444444445,418,140,125,039_2025_05_28_Level1.csv,118,25.177,Yes,2026-01-28,0,0,0,0,1,2,0,0,1,2,0,0,8,0,0,0,0,2,0,0,0,0,yes,NA
039_2025_06_17.csv,039,2025,06,17,csv,Yes,2026-01-28,2025-06-17,25.603,37.72953516393442,-90.90894771857924,330.7886612021858,972.5975409836066,NA,NA,832,278,244,039_2025_06_17_Level1.csv,237,25.555,Yes,2026-01-28,0,0,0,0,5,1,1,1,4,1,0,0,11,0,0,0,0,2,0,0,0,0,yes,NA
039_2025_07_08.csv,039,2025,07,08,csv,Yes,2026-01-28,2025-07-08,24.394666666666662,37.73047164021164,-90.91011396825397,332.46415343915345,980.0617283950618,0.06,0.06722222222222222,430,144,126,039_2025_07_08_Level1.csv,110,20.793333333333333,Yes,2026-01-28,1,1,0,0,12,1,0,0,0,1,0,0,4,0,0,0,0,1,0,0,0,0,yes,NA
039_2025_07_29.csv,039,2025,07,29,csv,Yes,2026-01-28,2025-07-29,25.138333333333332,37.72957539215686,-90.90914926470587,334.70392156862744,981.3653594771242,0.05,0.05444444444444445,469,156,136,039_2025_07_29_Level1.csv,133,24.68466666666667,Yes,2026-01-28,0,0,0,0,3,2,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,yes,NA
