MULakeNumber,date_yyyy-mm-dd,time_hhmmss,depth_m,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU,phycoerythrinTAL_RFU,turbidity_FNU,salinity_psu,specificConductivity_uSpcm,tds_mgpL,orp_mV,pH,latitude,longitude,altitude_m,barometerAirHandheld_mbars
088,2024-03-05,13:34:30,0.39033333333333337,9.821,11.213333333333336,99,2.723333333333333,0.2,NA,6.163333333333333,0.08,164.46666666666667,107,201.46666666666667,7.59,39.66248,-92.99655,237.03333333333333,988.5777777777778
088,2024-03-05,13:34:33,0.43,9.81,11.24,99.16666666666669,2.8766666666666665,0.15666666666666668,NA,6.04,0.08,164.4,107,201.9,7.58,39.66248,-92.99655,236.86666666666667,988.622222222222
088,2024-03-05,13:34:36,0.5226666666666667,9.810333333333332,11.243333333333334,99.2,3.163333333333333,0.17,NA,5.886666666666667,0.08,164.33333333333334,107,202.26666666666665,7.57,39.66248,-92.99655,237.03333333333333,988.5333333333332
088,2024-03-05,13:34:39,0.6563333333333333,9.812,11.236666666666666,99.13333333333333,3.3266666666666667,0.18333333333333332,NA,5.873333333333333,0.08,164.33333333333334,107,202.46666666666667,7.56,39.66248,-92.99655,237.16666666666663,988.622222222222
088,2024-03-05,13:34:42,0.8443333333333334,9.808333333333334,11.25,99.26666666666668,3.526666666666667,0.17,NA,6.1066666666666665,0.08,164.23333333333332,107,202.7,7.56,39.66247,-92.99654333333334,237.86666666666667,988.622222222222
088,2024-03-05,13:34:45,1.0216666666666665,9.809333333333331,11.266666666666666,99.43333333333334,3.5033333333333334,0.17,NA,5.986666666666666,0.08,164.16666666666666,107,202.9,7.55,39.66247,-92.99654,238.36666666666667,988.6666666666666
088,2024-03-05,13:34:48,1.0433333333333332,9.807,11.27,99.4,3.5466666666666664,0.14666666666666667,NA,6.04,0.08,164.26666666666668,107,203.03333333333333,7.55,39.66247,-92.99654,238.26666666666665,988.622222222222
088,2024-03-05,13:34:51,1.0786666666666669,9.812,11.27,99.46666666666668,3.563333333333333,0.14,NA,6.013333333333333,0.08,164.23333333333332,107,203.23333333333332,7.543333333333333,39.66246666666667,-92.99654,238.13333333333333,988.5777777777778
088,2024-03-05,13:34:57,1.1146666666666667,9.810666666666666,11.263333333333334,99.36666666666667,3.5033333333333334,0.16666666666666666,NA,5.793333333333334,0.08,164.26666666666668,107,203.76666666666668,7.53,39.66246,-92.99653,238.4,988.5777777777778
088,2024-03-05,13:35:00,1.141,9.805666666666667,11.256666666666666,99.36666666666667,3.54,0.15666666666666668,NA,5.846666666666667,0.08,164.26666666666668,107,203.76666666666668,7.53,39.66246,-92.99653,238.33333333333337,988.622222222222
088,2024-03-05,13:35:03,1.1763333333333332,9.799666666666669,11.273333333333332,99.43333333333334,3.4933333333333336,0.15,NA,6.016666666666667,0.08,164.3,107,203.86666666666667,7.53,39.66246,-92.99653,237.83333333333337,988.5777777777778
088,2024-03-05,13:35:06,1.2223333333333333,9.799666666666669,11.27,99.4,3.6766666666666663,0.2,NA,5.783333333333333,0.08,164.23333333333332,107,204,7.526666666666666,39.66246,-92.99653,237.4,988.5333333333332
088,2024-03-05,13:35:09,1.2613333333333332,9.799666666666669,11.276666666666666,99.46666666666668,3.5633333333333335,0.16666666666666666,NA,6.196666666666666,0.08,164.26666666666668,107,204.16666666666663,7.52,39.66246,-92.99653,237,988.622222222222
088,2024-03-05,13:35:12,1.3023333333333331,9.801333333333334,11.273333333333332,99.43333333333334,3.5533333333333332,0.17333333333333334,NA,6.273333333333333,0.08,164.23333333333332,107,204.3,7.52,39.66247,-92.99653,236.36666666666667,988.5777777777778
088,2024-03-05,13:35:15,1.3636666666666668,9.8,11.263333333333334,99.33333333333331,3.463333333333334,0.17,NA,6.086666666666667,0.08,164.23333333333332,107,204.7,7.51,39.66247,-92.99653,236.1,988.5777777777778
088,2024-03-05,13:35:18,1.4283333333333332,9.799,11.256666666666666,99.3,3.6033333333333335,0.18333333333333332,NA,5.743333333333333,0.08,164.23333333333332,107,204.9,7.51,39.66247,-92.99653,235.86666666666667,988.622222222222
088,2024-03-05,13:35:21,1.4806666666666668,9.797666666666666,11.26,99.33333333333331,3.5500000000000003,0.16666666666666669,NA,6.1433333333333335,0.08,164.26666666666668,107,205.06666666666663,7.503333333333333,39.66247,-92.99652,235.4,988.5333333333332
088,2024-03-05,13:35:24,1.5273333333333334,9.798666666666666,11.276666666666666,99.46666666666668,3.603333333333333,0.17666666666666667,NA,5.816666666666666,0.08,164.23333333333332,107,205.1,7.5,39.66247333333333,-92.99652,234.96666666666667,988.6666666666666
088,2024-03-05,13:35:27,1.586666666666667,9.797333333333334,11.273333333333332,99.43333333333334,3.5966666666666667,0.17,NA,6.24,0.08,164.26666666666668,107,205.23333333333332,7.5,39.66248,-92.99651333333334,234.53333333333333,988.6666666666666
088,2024-03-05,13:35:30,1.6376666666666666,9.794,11.29,99.56666666666666,3.3833333333333333,0.12666666666666668,NA,6.02,0.08,164.3,107,205.33333333333337,7.5,39.66248,-92.99651,234.13333333333333,988.622222222222
088,2024-03-05,13:35:33,1.701,9.79,11.29,99.56666666666666,3.49,0.15333333333333335,NA,5.663333333333333,0.08,164.3,107,205.4,7.5,39.66248,-92.99651,233.83333333333337,988.622222222222
088,2024-03-05,13:35:36,1.7563333333333333,9.789333333333332,11.293333333333331,99.6,3.47,0.16333333333333333,NA,5.773333333333333,0.08,164.3,107,205.46666666666667,7.49,39.66248,-92.99651,233.53333333333333,988.5777777777778
088,2024-03-05,13:35:39,1.8193333333333337,9.788,11.29,99.6,3.4533333333333336,0.16666666666666666,NA,5.9366666666666665,0.08,164.23333333333332,107,205.56666666666663,7.49,39.66248,-92.99651,233.33333333333337,988.5777777777778
088,2024-03-05,13:35:42,1.887,9.784666666666666,11.28,99.4,3.3666666666666667,0.1366666666666667,NA,6.163333333333333,0.08,164.3,107,205.5,7.49,39.66248,-92.99651,233.13333333333333,988.5333333333332
088,2024-03-05,13:35:45,1.9473333333333336,9.778666666666666,11.266666666666666,99.36666666666667,3.556666666666666,0.17333333333333334,NA,6.026666666666666,0.08,164.26666666666668,107,205.5,7.49,39.66248,-92.99651,233.06666666666663,988.5777777777778
088,2024-03-05,13:35:48,2.02,9.777666666666669,11.253333333333334,99.16666666666669,3.65,0.13666666666666666,NA,5.983333333333333,0.08,164.36666666666667,107,205.5,7.49,39.66248,-92.99651,232.86666666666667,988.4888888888888
088,2024-03-05,13:35:51,2.090666666666667,9.776333333333334,11.246666666666666,99.16666666666669,3.566666666666667,0.16333333333333333,NA,5.843333333333334,0.08,164.23333333333332,107,205.63333333333333,7.49,39.66248,-92.99651,232.63333333333333,988.5333333333332
